name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Arizona Diamondbacks,2011,2010,team,topps,53,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gerardo Parra,Arizona Diamondbacks,2013,2012,OF,topps,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wade Miley,Arizona Diamondbacks,2014,2013,P,topps,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gerardo Parra,Arizona Diamondbacks,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Upton,Arizona Diamondbacks,2012,2011,OF,topps,75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Patrick Corbin,Arizona Diamondbacks,2014,2013,P,topps,68,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Goldschmidt,Arizona Diamondbacks,2014,2013,1B,topps,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gerardo Parra,Arizona Diamondbacks,2011,2010,OF,topps,484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Upton,Arizona Diamondbacks,2011,2010,OF,topps,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Young,Arizona Diamondbacks,2010,2009,OF,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Young,Arizona Diamondbacks,2009,2008,OF,upper deck,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Allen,Arizona Diamondbacks,2011,2010,OF,topps,457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kelly Johnson,Arizona Diamondbacks,2011,2010,2B,topps,419,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Miguel Montero,Arizona Diamondbacks,2011,2010,C,topps,234,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Juan Miranda,Arizona Diamondbacks,2011,2010,1B,topps,606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Hernandez,Arizona Diamondbacks,2012,2011,P,topps,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Reynolds,Arizona Diamondbacks,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Stephen Drew,Arizona Diamondbacks,2011,2010,SS,topps,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Goldschmidt,Arizona Diamondbacks,2014,2013,1B,topps,US 215,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chase Anderson,Arizona Diamondbacks,2014,2013,P,topps,MB-29,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Saunders,Arizona Diamondbacks,2011,2010,P,topps,453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ian Kennedy,Arizona Diamondbacks,2011,2010,P,topps,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Hudson,Arizona Diamondbacks,2013,2012,P,topps,41,0,0,0,0,1,1,0,0,0,0,0,green,1,0,0,0,0,0,0,0,1,"Shiny, Emerald green",dani_2013_top_41_f.png,dani_2013_top_41_r.png
Joe Patterson,Arizona Diamondbacks,2011,2010,P,topps,604,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
J.J. Putz,Arizona Diamondbacks,2011,2010,P,topps,601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Hudson,Arizona Diamondbacks,2011,2010,P,topps,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
