name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Atlanta Braves,2011,2010,team,topps,319,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Craig Kimbrel,Atlanta Braves,2014,2013,P,topps,70,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrelton Simmons,Atlanta Braves,2014,2013,SS,topps,57,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jordan Schafer,Atlanta Braves,2011,2010,OF,topps,437,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Heyward,Atlanta Braves,2011,2010,OF,topps,510,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Diaz,Atlanta Braves,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rick Ankiel,Atlanta Braves,2011,2010,OF,topps,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nate McLouth,Atlanta Braves,2011,2010,OF,topps,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Hinske,Atlanta Braves,2011,2010,OF,topps,482,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Heyward,Atlanta Braves,2011,2010,OF,topps,635,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Jason Heyward,Atlanta Braves,2012,2011,OF,topps,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dan Uggla,Atlanta Braves,2011,2010,2B,topps,640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
