name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Baltimore Orioles,2011,2010,team,topps,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ty Wigginton,Baltimore Orioles,2011,2010,1B,topps,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Snyder,Baltimore Orioles,2011,2010,1B,topps,213,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Roberts,Baltimore Orioles,2011,2010,2B,topps,443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Melvin Mora,Baltimore Orioles,2008,2007,3B,topps,425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Bell,Baltimore Orioles,2011,2010,3B,topps,411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Reynolds,Baltimore Orioles,2011,2010,3B,topps,378,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
J.J. Hardy,Baltimore Orioles,2012,2011,SS,topps,571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nick Markakis,Baltimore Orioles,2010,2009,OF,upper deck,S-54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Supreme (Shiny Emerald),NA,NA
Adam Jones,Baltimore Orioles,2011,2010,OF,topps,396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nick Markakis,Baltimore Orioles,2011,2010,OF,topps,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Felix Pie,Baltimore Orioles,2011,2010,OF,topps,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nolan Reimold,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Hot Streak (Shiny),NA,NA
Luke Scott,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nolan Reimold,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Baltimore Orioles Wild Card,Baltimore Orioles,2013,2012,team,topps,317,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2012 AL Wild Card,NA,NA
Kevin Gausman,Baltimore Orioles,2014,2013,P,topps,192,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Davis,Baltimore Orioles,2014,2013,1B,topps,78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Manny Machado,Baltimore Orioles,2014,2013,3B,topps,128,0,0,1,0,1,1,0,1,0,0,0,blue,1,0,0,0,0,0,0,0,1,"Future Stars (Shiny Blue), Dated (March 30, 2014)",mann_2014_top_128_f.png,mann_2014_top_128_r.png
J.J. Hardy,Baltimore Orioles,2014,2013,SS,topps,118,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tommy Hunter,Baltimore Orioles,2014,2013,P,topps,US-235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Steve Lombardozzi,Baltimore Orioles,2014,2013,2B,topps,US-90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Tillman,Baltimore Orioles,2014,2013,P,topps,141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Manny Machado,Baltimore Orioles,2014,2013,3B,topps,24,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nate McLouth,Baltimore Orioles,2014,2013,OF,topps,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wei-Yin Chen,Baltimore Orioles,2014,2013,P,topps,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Gausman,Baltimore Orioles,2014,2013,P,topps,190,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Schoop,Baltimore Orioles,2014,2013,2B,topps,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nick Markakis,Baltimore Orioles,2014,2013,OF,topps,61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Belfiore,Baltimore Orioles,2014,2013,P,topps,516,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bud Norris,Baltimore Orioles,2014,2013,P,topps,543,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dylan Bundy,Baltimore Orioles,2014,2013,P,topps,531,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nolan Reimold,Baltimore Orioles,2014,2013,OF,topps,558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Davis,Baltimore Orioles,2014,2013,1B,topps,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nelson Cruz,Baltimore Orioles,2014,2013,OF,topps,453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
J.J. Hardy,Baltimore Orioles,2014,2013,SS,topps,377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Miguel Gonzalez,Baltimore Orioles,2014,2013,P,topps,434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Matusz,Baltimore Orioles,2014,2013,P,topps,547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Adam Jones,Baltimore Orioles,2014,2013,OF,topps,398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Manny Machado,Baltimore Orioles,2014,2014,3B,topps,SST-19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,saberstars (Ultimate Zone Rating: 31.2),NA,NA
Jeremy Guthrie,Baltimore Orioles,2009,2008,P,upper deck,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edition (Gold Border),NA,NA
Alfredo Simon,Baltimore Orioles,2012,2011,P,topps,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Gregg,Baltimore Orioles,2012,2011,P,topps,326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Millwood,Baltimore Orioles,2011,2010,P,topps,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Guthrie,Baltimore Orioles,2011,2010,P,topps,321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Gonzalez,Baltimore Orioles,2011,2010,P,topps,381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zach Briton,Baltimore Orioles,2011,2010,P,topps,418,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brad Bergessen,Baltimore Orioles,2011,2010,P,topps,442,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Duchscherer,Baltimore Orioles,2011,2010,P,topps,479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Koji Uehara,Baltimore Orioles,2011,2010,P,topps,164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Tillman,Baltimore Orioles,2011,2010,P,topps,636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jake Arrieta,Baltimore Orioles,2011,2010,P,topps,393,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Matusz,Baltimore Orioles,2011,2010,P,topps,177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luke Scott,Baltimore Orioles,2011,2010,DH,topps,294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken Jr.,Baltimore Orioles,1996,1995,SS,upper deck,10 of 22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Collector's Choice,NA,NA
Cal Ripken Jr.,Baltimore Orioles,1995,1994,SS,upper deck,1 of 22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Collector's Choice,NA,NA
Nick Markakis,Baltimore Orioles,2010,2009,OF,topps,PP-94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Peak Performance (Markakis Streaks for 17 Games),NA,NA
Phil Bradley,Baltimore Orioles,1990,1989,OF,leaf,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chance Sisco,Baltimore Orioles,2020,2019,C,topps,187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Tillman,Baltimore Orioles,2017,2016,P,topps,577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dennis Martinez,Baltimore Orioles,1982,1981,P,donruss,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Morales,Baltimore Orioles,1982,1981,DH,topps,648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dave Ford,Baltimore Orioles,1982,1981,P,donruss,597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Altobelli,Baltimore Orioles,1984,1983,manager,topps,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hanser Alberto,Baltimore Orioles,2019,2018,SS,topps,US30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Fred Lynn,Baltimore Orioles,1986,1985,OF,donruss,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Diamond Kings,NA,NA
Renato Nunez,Baltimore Orioles,2019,2018,"DH, 1B",topps,US300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Boddicker,Baltimore Orioles,1984,1983,P,donruss,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Trumbo,Baltimore Orioles,2019,2018,DH,topps,131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Richard Bleier,Baltimore Orioles,2019,2018,P,topps,207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken Jr.,Baltimore Orioles,1990,1989,SS,upper deck,347,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,cal_1990_upp_347_f.png,cal_1990_upp_347_r.png
Cal Ripken Jr.,Baltimore Orioles,1991,1990,SS,upper deck,645,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Major League Diamond Skills (Best Defensive Player),NA,NA
Pete Stanicek,Baltimore Orioles,1989,1988,OF,upper deck,592,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bill Ripken,Baltimore Orioles,1989,1988,2B,fleer,616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Beckham,Baltimore Orioles,2018,2017,SS,topps,159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sammy Stewart,Baltimore Orioles,1985,1984,P,donruss,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tippy Martinez,Baltimore Orioles,1985,1984,P,topps,445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Nolan,Baltimore Orioles,1985,1984,C,topps,652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken Jr.,Baltimore Orioles,1991,1990,SS,upper deck,165,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken Jr.,Baltimore Orioles,1991,1990,SS,upper deck,85F,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Toronto '91 All-Star Game,NA,NA
Jonathan Schoop,Baltimore Orioles,2017,2016,2B,topps,US292,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Young,Baltimore Orioles,1985,1984,OF,donruss,367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gary Roenicke,Baltimore Orioles,1985,1984,OF,donruss,123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Al Bumbry,Baltimore Orioles,1985,1984,OF,donruss,350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sammy Stewart,Baltimore Orioles,1985,1984,P,donruss,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken Jr.,Baltimore Orioles,2021,2020,SS,topps,HH-13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Historical Hits (July 10th, 2001)",cal_2021_top_hh13_f.png,cal_2021_top_hh13_r.png
Bill Ripken,Baltimore Orioles,1992,1991,2B,topps,533,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
Eric Bell,Baltimore Orioles,1988,1987,P,topps,383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Phil Bradley,Baltimore Orioles,1990,1989,OF,topps,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Thurmond,Baltimore Orioles,1990,1989,P,topps,758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Terry Kennedy,Baltimore Orioles,1988,1987,C,donruss,141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Ripken,Baltimore Orioles,1987,1986,SS,donruss,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ray Knight,Baltimore Orioles,1987,1986,3B,donruss,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Hoiles,Baltimore Orioles,1990,1989,C,donruss,358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Craig Worthington,Baltimore Orioles,1991,1990,3B,topps,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Mussina,Baltimore Orioles,1992,1991,P,donruss,632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Phil Bradley,Baltimore Orioles,1989,1988,OF,upper deck,749,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bob Milacki,Baltimore Orioles,1992,1991,P,donruss,587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brady Anderson,Baltimore Orioles,1992,1991,OF,topps,303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
Gregg Olson,Baltimore Orioles,1990,1989,P,upper deck,326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brady Anderson,Baltimore Orioles,1990,1989,OF,upper deck,290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Doug DeCinces,Baltimore Orioles,1982,1981,3B,topps,564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Terry Crowley,Baltimore Orioles,1982,1981,"DH, 1B",topps,232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tippy Martinez,Baltimore Orioles,1982,1981,P,topps,583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dwight Smith Jr.,Baltimore Orioles,2020,2019,OF,topps,146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mychal Givens,Baltimore Orioles,2020,2019,P,topps,184,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Larry Sheets,Baltimore Orioles,1989,1988,OF,upper deck,254,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
John Lowenstein,Baltimore Orioles,1984,1983,OF,topps,604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
