name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Boston Red Sox,2011,2010,team,topps,324,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jacoby Ellsbury,Boston Red Sox,2012,2011,OF,topps,ODS-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Opening Day Stars (3D card),jaco_2012_top_ods11_f.png,jaco_2012_top_ods11_r.png
Jacoby Ellsbury,Boston Red Sox,2012,2011,OF,topps,170,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jacoby Ellsbury,Boston Red Sox,2011,2010,OF,topps,351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dustin Pedroia,Boston Red Sox,2011,2010,2B,topps,TT-47,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Topps Town,NA,NA
Dustin Pedroia,Boston Red Sox,2013,2012,2B,topps,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dustin Pedroia,Boston Red Sox,2011,2010,2B,topps,480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Adrian Beltre,Boston Red Sox,2011,2010,3B,topps,302,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Youkilis,Boston Red Sox,2011,2010,3B,topps,500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clay Buchholz,Boston Red Sox,2011,2010,P,topps,208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Victor Martinez,Boston Red Sox,2011,2010,C,topps,218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Varitek,Boston Red Sox,2008,2007,C,upper deck,433,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jon Lester,Boston Red Sox,2008,2007,P,upper deck,430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clay Buchholz,Boston Red Sox,2012,2011,P,topps,247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Papelbon,Boston Red Sox,2011,2010,P,topps,62,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Bard,Boston Red Sox,2012,2011,P,topps,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jon Lester,Boston Red Sox,2011,2010,P,topps,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Beckett,Boston Red Sox,2011,2010,P,topps,610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clay Buchholz,Boston Red Sox,2014,2013,P,topps,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clay Buchholz,Boston Red Sox,2014,2013,P,topps,53,0,0,0,0,1,1,0,0,0,0,0,yellow,0,0,0,0,0,0,0,0,1,NA,clay_2014_top_53_f.png,clay_2014_top_53_r.png
Dustin Pedroia,Boston Red Sox,2014,2013,2B,topps,166,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
John Lester,Boston Red Sox,2014,2013,P,topps,206,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,World Series (2013 World Series Game 5),NA,NA
Stephen Drew,Boston Red Sox,2014,2013,SS,topps,585,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
