name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Chicago White Sox,2011,2010,team,topps,161,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Davidson,Chicago White Sox,2014,2013,3B,topps,174,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,14-Mar-13,NA,NA
Matt Davidson,Chicago White Sox,2014,2013,3B,topps,174,0,1,1,0,1,1,0,0,0,0,0,blue,0,0,0,0,0,0,1677/2014,0,1,14-Mar-13,matt_2014_top_174_f.png,matt_2014_top_174_r.png
Chris Sale,Chicago White Sox,2014,2013,P,topps,151,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andre Rienzo,Chicago White Sox,2014,2013,P,topps,96,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Juan Pierre,Chicago White Sox,2011,2010,OF,topps,422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Quentin,Chicago White Sox,2011,2010,OF,topps,389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Rios,Chicago White Sox,2011,2010,OF,topps,307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Rios,Chicago White Sox,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jermaine Dye,Chicago White Sox,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Anderson,Chicago White Sox,2008,2007,P,upper deck,460,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Rios,Chicago White Sox,2012,2011,OF,topps,SC-6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Superstar Celebrations,NA,NA
Alex Rios,Chicago White Sox,2010,2009,OF,upper deck,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Manny Ramirez,Chicago White Sox,2011,2010,DH,topps,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alexei Ramirez,Chicago White Sox,2011,2010,SS,topps,261,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Konerko,Chicago White Sox,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Adam Dunn,Chicago White Sox,2013,2012,DH,topps,CH-30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Chasing History, 400th Home Run",NA,NA
Gordon Beckham,Chicago White Sox,2011,2010,2B,topps,562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Teahen,Chicago White Sox,2011,2010,3B,topps,565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dayan Viciedo,Chicago White Sox,2011,2010,3B,topps,592,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brent Morel,Chicago White Sox,2011,2010,3B,topps,322,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Youkilis,Chicago White Sox,2013,2012,3B,topps,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
