name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Cincinnati Reds,2011,2010,team,topps,192,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mat Latos,Cincinnati Reds,2014,2013,P,topps,211,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Phillips,Cincinnati Reds,2014,2013,2B,topps,121,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Heisey,Cincinnati Reds,2011,2010,OF,topps,336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joey Votto,Cincinnati Reds,2014,2013,1B,topps,BO-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Breaking Out,joey_2014_top_bo11_f.png,joey_2014_top_bo11_r.png
Drew Stubbs,Cincinnati Reds,2011,2010,OF,topps,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Heisey,Cincinnati Reds,2012,2011,OF,topps,636,0,0,0,0,1,1,0,0,0,0,0,gold,1,0,0,0,0,0,0,0,1,NA,chri_2012_top_636_f.png,chri_2012_top_636_r.png
Tony Cingrani,Cincinnati Reds,2014,2013,P,topps,201,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonny Gomes,Cincinnati Reds,2011,2010,OF,topps,598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Fred Lewis,Cincinnati Reds,2011,2010,OF,topps,517,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Cueto,Cincinnati Reds,2014,2013,P,topps,179,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jay Bruce,Cincinnati Reds,2014,2013,OF,topps,109,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jay Bruce,Cincinnati Reds,2011,2010,OF,topps,191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jay Bruce,Cincinnati Reds,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Phillips,Cincinnati Reds,2011,2010,2B,topps,630,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joey Votto,Cincinnati Reds,2011,2010,1B,topps,211,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2010 National League MVP,NA,NA
Joey Votto,Cincinnati Reds,2011,2010,1B,topps,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Miguel Cairo,Cincinnati Reds,2011,2010,3B,topps,417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ramon Hernandez,Cincinnati Reds,2011,2010,C,topps,233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Janish,Cincinnati Reds,2011,2010,SS,topps,358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Scott Rolen,Cincinnati Reds,2011,2010,3B,topps,228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Juan Francisco,Cincinnati Reds,2011,2010,3B,topps,609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zack Cozart,Cincinnati Reds,2013,2012,SS,topps,202,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Barry Larkin,Cincinnati Reds,2012,2011,SS,topps,GM-18,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Golden Moments (Special Shortstop),NA,NA
Yonder Alonso,Cincinnati Reds,2011,2010,1B,topps,317,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Cueto,Cincinnati Reds,2011,2010,P,topps,142,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Cueto,Cincinnati Reds,2013,2012,P,topps,275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Cueto,Cincinnati Reds,2010,2009,P,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Cueto,Cincinnati Reds,2008,2007,P,upper deck,707,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,john_2008_upp_707_f.png,john_2008_upp_707_r.png
Aroldis Chapman,Cincinnati Reds,2011,2010,P,topps,110,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,arol_2011_top_110_f.png,arol_2011_top_110_r.png
Edinson Volquez,Cincinnati Reds,2011,2010,P,topps,63,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Travis Wood,Cincinnati Reds,2011,2010,P,topps,641,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Francisco Cordero,Cincinnati Reds,2011,2010,P,topps,593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tony Cingrani,Cincinnati Reds,2013,2012,P,topps,142,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aaron Haranc,Cincinnati Reds,2011,2010,P,topps,249,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Marshall,Cincinnati Reds,2013,2012,P,topps,251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Broxton,Cincinnati Reds,2013,2013,P,topps,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dontrelle Willis,Cincinnati Reds,2012,2011,P,topps,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mat Latos,Cincinnati Reds,2012,2011,P,topps,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Heisey,Cincinnati Reds,2014,2013,OF,topps,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Leake,Cincinnati Reds,2011,2010,P,topps,516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tony Cingrani,Cincinnati Reds,2014,2013,P,topps,581,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zack Cozart,Cincinnati Reds,2014,2013,SS,topps,366,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Marshall,Cincinnati Reds,2014,2013,P,topps,445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
