name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Cleveland Indians,2011,2010,team,topps,68,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Victor Martinez,Cleveland Indians,2008,2007,C,topps,763,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Team Checklist,NA,NA
Asdrubal Cabrera,Cleveland Indians,2011,2010,SS,topps,522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Asdrubal Cabrera,Cleveland Indians,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jayson Nix,Cleveland Indians,2011,2010,3B,topps,549,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt LaPorta,Cleveland Indians,2011,2010,1B,topps,476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Donald,Cleveland Indians,2011,2010,2B,topps,526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Travis Hafner,Cleveland Indians,2011,2010,DH,topps,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shin-Soo Choo,Cleveland Indians,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shin-Soo Choo,Cleveland Indians,2010,2009,OF,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,Hot Streak,NA,NA
Ubaldo Jimenez,Cleveland Indians,2014,2013,P,topps,184,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Kipnis,Cleveland Indians,2014,2013,2B,topps,UP-30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fired Up,NA,NA
Michael Brantley,Cleveland Indians,2011,2010,OF,topps,274,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Delucci,Cleveland Indians,2008,2007,OF,upper deck,479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Michaels,Cleveland Indians,2008,2007,OF,upper deck,476,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Crowe,Cleveland Indians,2011,2010,OF,topps,430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Grady Sizemore,Cleveland Indians,2011,2010,OF,topps,440,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Austin Kearns,Cleveland Indians,2011,2010,OF,topps,449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Travis Buck,Cleveland Indians,2011,2010,OF,topps,426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Drew Stubbs,Cleveland Indians,2014,2013,OF,topps,309,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Aviles,Cleveland Indians,2014,2013,SS,topps,76,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Kipnis,Cleveland Indians,2014,2013,2B,topps,235,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Carrasco,Cleveland Indians,2011,2010,P,topps,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ubaldo Jimenez,Cleveland Indians,2012,2011,P,topps,157,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zach McAllister,Cleveland Indians,2012,2011,P,topps,570,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Masterson,Cleveland Indians,2011,2010,P,topps,544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Perez,Cleveland Indians,2011,2010,P,topps,159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Perez,Cleveland Indians,2012,2011,P,topps,436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Tomlin,Cleveland Indians,2011,2010,P,topps,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tony Sipp,Cleveland Indians,2011,2010,P,topps,536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeanmar Gomez,Cleveland Indians,2011,2010,P,topps,647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Dickerson,Cleveland Indians,2014,2013,OF,topps,US-141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Brantley,Cleveland Indians,2014,2013,OF,topps,261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
