name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Florida Marlins,2011,2010,team,topps,361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Cochlan,Florida Marlins,2011,2010,OF,topps,313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Logan Morrison,Florida Marlins,2011,2010,OF,topps,455,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Stanton,Florida Marlins,2011,2010,OF,topps,TT-32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Topps Town,NA,NA
Mike Stanton,Florida Marlins,2011,2010,OF,topps,781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Stanton,Florida Marlins,2011,2010,OF,topps,135,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Scott Cousins,Florida Marlins,2011,2010,OF,topps,287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Emilio Bonfacio,Florida Marlins,2011,2010,OF,topps,303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wes Helms,Florida Marlins,2011,2010,3B,topps,557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gaby Sanchez,Florida Marlins,2011,2010,1B,topps,312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ozzie Martinez,Florida Marlins,2011,2010,SS,topps,326,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gaby Sanchez,Florida Marlins,2011,2010,1B,topps,59,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Hanley Ramirez,Florida Marlins,2011,2010,SS,topps,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hanley Ramirez,Florida Marlins,2010,2009,SS,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"one with code, one without",NA,NA
Jorge Cantu,Florida Marlins,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ricky Nolasco,Florida Marlins,2011,2010,P,topps,637,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gary Sheffield,Florida Marlins,2014,2013,OF,topps,WSH-GS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,World Series Heroes (1997 WS),gary_2014_top_wshgs_f.png,gary_2014_top_wshgs_r.png
Leo Nunez,Florida Marlins,2011,2010,P,topps,623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Anibal Sanchez,Florida Marlins,2011,2010,P,topps,596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Javier Vazquez,Florida Marlins,2011,2010,P,topps,458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Johnson,Florida Marlins,2011,2010,P,topps,166,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clay Hensley,Florida Marlins,2011,2010,P,topps,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Ceda,Florida Marlins,2011,2010,P,topps,196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brett Sinkbeil,Florida Marlins,2011,2010,P,topps,117,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Volstad,Florida Marlins,2011,2010,P,topps,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Johnson,Florida Marlins,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Fredi Gonzalez,Florida Marlins,2009,2008,manager,topps,88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,fred_2009_top_88_f.png,fred_2009_top_88_r.png
Mark Kotsay,Florida Marlins,1999,1998,OF,bowman,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Klink,Florida Marlins,1994,1993,P,topps,68,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
Bret Barberie,Florida Marlins,1994,1993,2B,upper deck,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Electric Diamond,NA,NA
Andres Berumen,Florida Marlins,1993,1992,P,topps,627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
