name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Kansas City Royals,2011,2010,team,topps,568,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Gordon,Kansas City Royals,2014,2013,OF,topps,180,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
James Shields,Kansas City Royals,2014,2013,P,topps,102,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Hosmer,Kansas City Royals,2014,2013,1B,topps,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lorenzo Cain,Kansas City Royals,2011,2010,OF,topps,533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Lough,Kansas City Royals,2013,2012,OF,topps,268,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Gordon,Kansas City Royals,2011,2010,OF,topps,262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mitch Maier,Kansas City Royals,2011,2010,OF,topps,658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gregor Blanco,Kansas City Royals,2011,2010,OF,topps,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joey Gathright,Kansas City Royals,2008,2007,OF,upper deck,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David DeJesus,Kansas City Royals,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Melky Cabrera,Kansas City Royals,2012,2011,OF,topps,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David DeJesus,Kansas City Royals,2011,2010,OF,topps,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Melky Cabrera,Kansas City Royals,2011,2010,OF,topps,332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Billy Butler,Kansas City Royals,2012,2011,DH,topps,67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yuniesky Betancourt,Kansas City Royals,2011,2010,SS,topps,289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wilson Betemit,Kansas City Royals,2011,2010,3B,topps,369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Aviles,Kansas City Royals,2011,2010,2B,topps,244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Billy Butler,Kansas City Royals,2011,2010,1B,topps,470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kila Ka'aihue,Kansas City Royals,2011,2010,1B,topps,527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Hosmer,Kansas City Royals,2013,2012,1B,topps,135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Hosmer,Kansas City Royals,2012,2011,1B,topps,SC-7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Superstar Celebrations,NA,NA
Chris Getz,Kansas City Royals,2011,2010,2B,topps,654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alcides Escobar,Kansas City Royals,2012,2011,SS,topps,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Kendall,Kansas City Royals,2011,2010,C,topps,472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lucas May,Kansas City Royals,2011,2010,C,topps,91,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Miguel Olivo,Kansas City Royals,2010,2009,C,upper deck,248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luke Hochevar,Kansas City Royals,2011,2010,P,topps,620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aaron Crow,Kansas City Royals,2011,2010,P,topps,633,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Collins,Kansas City Royals,2011,2010,P,topps,471,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kelvin Herrera,Kansas City Royals,2012,2011,P,topps,211,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luke Hochevar,Kansas City Royals,2012,2011,P,topps,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Sanchez,Kansas City Royals,2012,2011,P,topps,404,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Juan Cruz,Kansas City Royals,2010,2009,P,upper deck,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yasuhiko Yabuta,Kansas City Royals,2008,2007,P,upper deck,729,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gil Meche,Kansas City Royals,2011,2010,P,topps,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zack Greinke,Kansas City Royals,2011,2010,P,topps,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kyle Davis,Kansas City Royals,2011,2010,P,topps,259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nathan Adcock,Kansas City Royals,2011,2010,P,topps,503,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joakim Soria,Kansas City Royals,2011,2010,P,topps,540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Vin Mazzaro,Kansas City Royals,2011,2010,P,topps,409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Duffy,Kansas City Royals,2014,2013,P,topps,532,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wade Davis,Kansas City Royals,2014,2013,P,topps,658,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wade Davis,Kansas City Royals,2014,2013,P,topps,658,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,0,1,NA,wade_2014_top_658_f.png,wade_2014_top_658_r.png
Mike Moustakas,Kansas City Royals,2014,2013,3B,topps,341,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Moustakas,Kansas City Royals,2014,2013,3B,topps,341,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,0,1,NA,mike_2014_top_341_f.png,mike_2014_top_341_r.png
Eric Hosmer,Kansas City Royals,2014,2013,1B,topps,PP-219,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Power Players,NA,NA
Lorenzo Cain,Kansas City Royals,2014,2013,OF,topps,357,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lorenzo Cain,Kansas City Royals,2014,2013,OF,topps,357,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,NA,lore_2014_top_357_f.png,lore_2014_top_357_r.png
Greg Holland,Kansas City Royals,2014,2013,P,topps,617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Maxwell,Kansas City Royals,2014,2013,OF,topps,594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Vargas,Kansas City Royals,2014,2013,P,topps,544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Norichika Aoki,Kansas City Royals,2014,2013,OF,topps,517,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Omar Infante,Kansas City Royals,2014,2013,2B,topps,433,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Hosmer,Kansas City Royals,2014,2013,1B,topps,459,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alcides Escobar,Kansas City Royals,2014,2013,SS,topps,514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Salvador Perez,Kansas City Royals,2014,2013,C,topps,348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luke Hochevar,Kansas City Royals,2014,2013,P,topps,586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yordano Ventura,Kansas City Royals,2014,2013,P,topps,265,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Billy Butler,Kansas City Royals,2014,2013,DH,topps,255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bruce Chen,Kansas City Royals,2014,2013,P,topps,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jarrod Dyson,Kansas City Royals,2014,2013,OF,topps,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Emilio Bonafacio,Kansas City Royals,2014,2013,2B,topps,322,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Gordon,Kansas City Royals,2014,2013,OF,topps,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Guthrie,Kansas City Royals,2014,2013,P,topps,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Getz,Kansas City Royals,2014,2013,2B,topps,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
James Shields,Kansas City Royals,2014,2013,P,topps,214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Greg Holland,Kansas City Royals,2014,2013,P,topps,US-295,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bo Jackson,Kansas City Royals,2014,2013,OF,topps,UC-40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Upper Class (1987),NA,NA
Adalberto Mondesi,Kansas City Royals,2020,2019,SS,topps,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bo Jackson,Kansas City Royals,1989,1989,OF,donruss,650,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bo Jackson,Kansas City Royals,1990,1989,OF,upper deck,545,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ken Brett,Kansas City Royals,1982,1981,P,fleer,406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Jones,Kansas City Royals,1982,1981,P,fleer,412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dave Chalk,Kansas City Royals,1982,1981,SS,fleer,407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Jackson,Kansas City Royals,1985,1985,P,donruss,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tom Gordon,Kansas City Royals,1990,1989,P,leaf,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kendrys Morales,Kansas City Royals,2017,2016,DH,topps,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Gubicza,Kansas City Royals,1990,1989,P,leaf,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Slittorff,Kansas City Royals,1982,1981,P,topps,759,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jamie Quirk,Kansas City Royals,1982,1981,C,donruss,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gil Meche,Kansas City Royals,2008,2007,P,topps,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Slittorff,Kansas City Royals,1984,1983,P,topps,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kyle Zimmer,Kansas City Royals,2015,2014,P,bowman,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joakim Soria,Kansas City Royals,2017,2016,P,topps,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ian Kennedy,Kansas City Royals,2019,2018,P,topps,108,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joey Gathright,Kansas City Royals,2008,2007,OF,topps,392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bret Saberhaden,Kansas City Royals,1986,1986,P,sportflics,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Willie Aikens,Kansas City Royals,1983,1982,1B,topps,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Stillwell,Kansas City Royals,1989,1988,SS,upper deck,616,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brett Phillipps,Kansas City Royals,2019,2018,OF,topps,195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Salvador Perez,Kansas City Royals,2019,2018,C,topps,168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Whit Merrifield,Kansas City Royals,2019,2018,"2B, OF",topps,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Tartabull,Kansas City Royals,1989,1988,OF,upper deck,329,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Steve Balboni,Kansas City Royals,1984,1984,1B,donruss,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Leaf variant,NA,NA
Frank White,Kansas City Royals,1984,1984,2B,donruss,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Leaf variant,NA,NA
Bob Hameln,Kansas City Royals,1994,1993,1B,upper deck,249,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Electric Diamond,NA,NA
Joe Beckwith,Kansas City Royals,1984,1984,P,donruss,541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jorge Orta,Kansas City Royals,1985,1985,DH,donruss,339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bud Black,Kansas City Royals,1985,1984,P,topps,412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
George Brett,Kansas City Royals,1990,1990,1B,upper deck,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Jackson,Kansas City Royals,1984,1984,P,donruss,374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Greg Pryor,Kansas City Royals,1985,1985,"1B, 2B, 3B, SS",donruss,344,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Randa,Kansas City Royals,1992,1991,3B,bowman,560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian McRae,Kansas City Royals,1995,1994,OF,upper deck,460,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Collector's Choice,NA,NA
Mark Gubicza,Kansas City Royals,1995,1994,P,upper deck,464,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Collector's Choice,NA,NA
Charlie Leibrandt,Kansas City Royals,1984,1984,P,donruss,399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Renie Martin,Kansas City Royals,1982,1981,P,topps,594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rich Gale,Kansas City Royals,1982,1981,P,fleer,408,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Wily Peralta,Kansas City Royals,2019,2018,P,topps,463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dennis Leonard,Kansas City Royals,1984,1983,P,topps,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dick Howser,Kansas City Royals,1984,1983,manager,topps,471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Don Hood,Kansas City Royals,1984,1983,P,topps,743,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Larry Gura,Kansas City Royals,1984,1983,P,topps,625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cesar Geronimo,Kansas City Royals,1984,1983,OF,topps,544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Onix Concepcion,Kansas City Royals,1984,1983,SS,topps,247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bud Black,Kansas City Royals,1984,1983,P,topps,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Armstrong,Kansas City Royals,1984,1983,P,topps,417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Willie Aikens,Kansas City Royals,1984,1983,1B,topps,685,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pat Sheridan,Kansas City Royals,1984,1983,OF,topps,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bill Pecota,Kansas City Royals,1989,1988,"1B, 2B, 3B, SS",upper deck,507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luis De Los Santos,Kansas City Royals,1989,1988,1B,upper deck,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ed Hearn,Kansas City Royals,1989,1988,C,upper deck,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Willie Wilson,Kansas City Royals,1984,1984,OF,donruss,110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Moss,Kansas City Royals,2017,2016,OF,topps,US174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jorge Bonifacio,Kansas City Royals,2019,2018,OF,topps,427,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brad Boxberger,Kansas City Royals,2019,2018,P,topps,US191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Appier,Kansas City Royals,1990,1989,P,score,625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Appier,Kansas City Royals,1990,1989,P,topps,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan McBroom,Kansas City Royals,2021,2020,1B,topps,201,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Franchy Cordero,Kansas City Royals,2021,2020,OF,topps,648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Team Card,Kansas City Royals,2021,2020,team,topps,608,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Boddicker,Kansas City Royals,1992,1992,P,donruss,469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Boddicker,Kansas City Royals,1991,1990,P,upper deck,213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luis Aquino,Kansas City Royals,1988,1987,P,donruss,534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Steve Jeltz,Kansas City Royals,1991,1990,"2B, SS",topps,507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Charlie Leibrandt,Kansas City Royals,1989,1988,P,score,133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gregg Jefferies,Kansas City Royals,1993,1992,3B,topps,105,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Topps Gold,NA,NA
Terry Shumpert,Kansas City Royals,1991,1991,2B,upper deck,348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Israel Sanchez,Kansas City Royals,1988,1988,P,donruss,474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jerry Don Gleaton,Kansas City Royals,1988,1988,P,donruss,444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
George Brett,Kansas City Royals,1987,1987,1B,donruss,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Gubicza,Kansas City Royals,1989,1988,P,score,291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bob Boone,Kansas City Royals,1991,1991,C,upper deck,502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike MacFarlane,Kansas City Royals,1990,1989,C,upper deck,307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike MacFarlane,Kansas City Royals,1993,1992,C,topps,768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Haney,Kansas City Royals,1993,1992,P,topps,581,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jackson Kowar,Kansas City Royals,2022,2021,P,topps,264,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Greg Holland,Kansas City Royals,2022,2021,P,topps,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
