name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Los Angeles Angels of Anaheim,2011,2010,team,topps,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Peter Bourjos,Los Angeles Angels of Anaheim,2012,2011,OF,topps,166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Torii Hunter,Los Angeles Angels of Anaheim,2012,2011,OF,topps,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Torii Hunter,Los Angeles Angels of Anaheim,2011,2010,OF,topps,255,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Trumbo,Los Angeles Angels of Anaheim,2012,2011,1B,topps,158,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Moore,Los Angeles Angels of Anaheim,2012,2011,OF,topps,277,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Peter Bourjos,Los Angeles Angels of Anaheim,2011,2010,OF,topps,185,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Vernon Wells,Los Angeles Angels of Anaheim,2011,2010,OF,topps,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bobby Abreu,Los Angeles Angels of Anaheim,2011,2010,OF,topps,528,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Reggie Willits,Los Angeles Angels of Anaheim,2011,2010,OF,topps,559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Trumbo,Los Angeles Angels of Anaheim,2012,2011,1B,topps,106,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Hank Conger,Los Angeles Angels of Anaheim,2011,2010,C,topps,285,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Trumbo,Los Angeles Angels of Anaheim,2011,2010,1B,topps,57,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alberto Callaspo,Los Angeles Angels of Anaheim,2011,2010,3B,topps,454,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kendrys Morales,Los Angeles Angels of Anaheim,2013,2012,DH,topps,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Mathis,Los Angeles Angels of Anaheim,2011,2010,C,topps,474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Napoli,Los Angeles Angels of Anaheim,2011,2010,C,topps,201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Howie Kendrick,Los Angeles Angels of Anaheim,2011,2010,2B,topps,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Howie Kendrick,Los Angeles Angels of Anaheim,2009,2008,2B,topps,379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Howie Kendrick,Los Angeles Angels of Anaheim,2010,2009,2B,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,One is Hot Streak with different numbers,NA,NA
Kendrys Morales,Los Angeles Angels of Anaheim,2011,2010,1B,topps,651,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kendrys Morales,Los Angeles Angels of Anaheim,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
C.J. Wilson,Los Angeles Angels of Anaheim,2013,2012,P,topps,CHR-CJW,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Chasing History (Record Streak), with game-used memorabilia",cj_2013_top_chrcjw_f.png,cj_2013_top_chrcjw_r.png
Chone Figgins,Los Angeles Angels of Anaheim,2009,2008,3B,topps,332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Maicer Izturis,Los Angeles Angels of Anaheim,2011,2010,3B,topps,529,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Erick Aybar,Los Angeles Angels of Anaheim,2011,2010,SS,topps,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Howie Kendrick,Los Angeles Angels of Anaheim,2013,2012,2B,topps,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Howie Kendrick,Los Angeles Angels of Anaheim,2014,2013,2B,topps,146,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Trout,Los Angeles Angels of Anaheim,2014,2013,OF,topps,UP-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fired Up,NA,NA
Albert Pujols,Los Angeles Angels of Anaheim,2014,2013,1B,topps,66,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Freese,Los Angeles Angels of Anaheim,2014,2013,3B,topps,197,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jered Weaver,Los Angeles Angels of Anaheim,2014,2013,P,topps,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tyler Skaggs,Los Angeles Angels of Anaheim,2014,2013,P,topps,64,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jered Weaver,Los Angeles Angels of Anaheim,2012,2011,P,topps,209,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dan Haren,Los Angeles Angels of Anaheim,2012,2011,P,topps,64,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dan Haren,Los Angeles Angels of Anaheim,2011,2010,P,topps,626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jered Weaver,Los Angeles Angels of Anaheim,2012,2011,P,topps,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
