name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Los Angeles Dodgers,2011,2010,team,topps,646,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carl Crawford,Los Angeles Dodgers,2014,2013,OF,topps,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clayton Kershaw,Los Angeles Dodgers,2014,2013,P,topps,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hanley Ramirez,Los Angeles Dodgers,2014,2013,SS,topps,208,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clayton Kershaw,Los Angeles Dodgers,2013,2012,P,topps,TM-23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Mini Card,NA,NA
Andre Ethier,Los Angeles Dodgers,2012,2011,OF,topps,TM-30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Mini Card,NA,NA
Andruw Jones,Los Angeles Dodgers,2008,2007,OF,upper deck,540,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Kemp,Los Angeles Dodgers,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andre Ethier,Los Angeles Dodgers,2011,2010,OF,topps,240,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Kemp,Los Angeles Dodgers,2009,2008,OF,upper deck,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edition (Gold Border),NA,NA
Tony Gwynn,Los Angeles Dodgers,2012,2011,OF,topps,284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Kemp,Los Angeles Dodgers,2011,2010,OF,topps,375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Marcus Thames,Los Angeles Dodgers,2011,2010,OF,topps,551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Kemp,Los Angeles Dodgers,2012,2011,OF,topps,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andre Ethier,Los Angeles Dodgers,2013,2012,OF,topps,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
