name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Minnesota Twins,2011,2010,team,topps,614,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jim Thome,Minnesota Twins,2011,2010,DH,topps,304,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Series 1 Checklist 4 of 5 (No. 8 All-Time in HRs),NA,NA
Ben Revere,Minnesota Twins,2012,2011,OF,topps,211,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Alexi Casilla,Minnesota Twins,2011,2010,SS,topps,339,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Valencia,Minnesota Twins,2011,2010,3B,topps,390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Valencia,Minnesota Twins,2011,2010,3B,topps,387,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Danny Valencia,Minnesota Twins,2012,2011,3B,topps,126,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Morneau,Minnesota Twins,2011,2010,1B,topps,293,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Mauer,Minnesota Twins,2011,2010,C,topps,550,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Scott Baker,Minnesota Twins,2011,2010,P,topps,354,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carl Pavano,Minnesota Twins,2012,2011,P,topps,164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nick Blackburn,Minnesota Twins,2012,2011,P,topps,316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kevin Slowey,Minnesota Twins,2011,2010,P,topps,281,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Fuentes,Minnesota Twins,2011,2010,P,topps,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Nathan,Minnesota Twins,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Duensing,Minnesota Twins,2014,2013,P,topps,488,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Duensing,Minnesota Twins,2014,2013,P,topps,488,1,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,1239/2014,0,1,NA,bria_2014_top_488_f.png,bria_2014_top_488_r.png
Phil Hughes,Minnesota Twins,2014,2013,P,topps,541,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Phil Hughes,Minnesota Twins,2014,2013,P,topps,541,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Willingham,Minnesota Twins,2014,2013,OF,topps,385,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Willingham,Minnesota Twins,2014,2013,OF,topps,385,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,NA,josh_2014_top_385_f.png,josh_2014_top_385_r.png
Mike Pelfrey,Minnesota Twins,2014,2013,P,topps,441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Parmelee,Minnesota Twins,2014,2013,1B,topps,518,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Samuel Deduno,Minnesota Twins,2014,2013,P,topps,463,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josmil Pinto,Minnesota Twins,2014,2013,C,topps,162,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Dozier,Minnesota Twins,2014,2013,2B,topps,221,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
