name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,New York Mets,2011,2010,team,topps,157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tom Seaver,New York Mets,2012,2011,P,topps,GG-56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Golden Greats,NA,NA
Mr. Met,New York Mets,2014,2013,mascot,topps,M-25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bobby Parnell,New York Mets,2014,2013,P,topps,147,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Wright,New York Mets,2014,2013,3B,topps,134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zack Wheeler,New York Mets,2014,2013,P,topps,101,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Angel Pagan,New York Mets,2012,2011,OF,topps,191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Bay,New York Mets,2011,2010,OF,topps,119,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Angel Pagan,New York Mets,2011,2010,OF,topps,207,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Beltran,New York Mets,2011,2010,OF,topps,515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Bay,New York Mets,2012,2011,OF,topps,175,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lucas Duda,New York Mets,2013,2012,OF,topps,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lucas Duda,New York Mets,2011,2010,OF,topps,129,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kirk Nieuwenhuis,New York Mets,2013,2012,OF,topps,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Beltran,New York Mets,2008,2007,OF,upper deck,SQ-36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Starquest,NA,NA
Ruben Tejada,New York Mets,2011,2010,2B,topps,625,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Church,New York Mets,2008,2007,OF,upper deck,576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Francoeur,New York Mets,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Wright,New York Mets,2011,2010,3B,topps,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Wright,New York Mets,2012,2011,3B,topps,FS-10,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fantasy Squard,NA,NA
Jose Reyes,New York Mets,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Reyes,New York Mets,2011,2010,SS,topps,380,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lucas Duda,New York Mets,2012,2011,1B,topps,128,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Wright,New York Mets,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ike Davis,New York Mets,2011,2010,1B,topps,290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Thole,New York Mets,2011,2010,C,topps,156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Nickeas,New York Mets,2011,2010,C,topps,523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Murphy,New York Mets,2011,2010,1B,topps,607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ike Davis,New York Mets,2012,2011,1B,topps,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Reyes,New York Mets,2008,2007,SS,upper deck,572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ramon Castro,New York Mets,2008,2007,C,upper deck,584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dillon Gee,New York Mets,2011,2010,P,topps,203,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Turner,New York Mets,2012,2011,2B,topps,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dillon Gee,New York Mets,2013,2012,P,topps,156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
R.A. Dickey,New York Mets,2011,2010,P,topps,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johan Santana,New York Mets,2009,2008,P,upper deck,193,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edition (Gold Border),NA,NA
Johan Santana,New York Mets,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johan Santana,New York Mets,2011,2010,P,topps,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Francisco Rodriguez,New York Mets,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Francisco Rodriguez,New York Mets,2011,2010,P,topps,486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeurys Familia,New York Mets,2013,2012,P,topps,271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Young,New York Mets,2011,2010,P,topps,580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jon Niese,New York Mets,2011,2010,P,topps,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pedro Martinez,New York Mets,2008,2007,P,upper deck,577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Pelfrey,New York Mets,2011,2010,P,topps,542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Isringhausen,New York Mets,2012,2011,P,topps,323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
R.A. Dickey,New York Mets,2012,2011,P,topps,ES-10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Elite Skills Player (Throwing a Knuckleball),NA,NA
Pedro Beato,New York Mets,2011,2010,P,topps,639,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Capuano,New York Mets,2011,2010,P,topps,404,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Turner,New York Mets,2014,2013,SS,topps,187,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
