name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,New York Yankees,2011,2010,team,topps,424,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hiroki Kuroda,New York Yankees,2014,2013,P,topps,81,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian McCann,New York Yankees,2014,2013,C,topps,140,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian McCann,New York Yankees,2014,2013,C,topps,140,0,0,1,0,1,1,0,0,0,0,0,blue,0,0,0,0,0,0,0140/2014,0,1,NA,bria_2014_top_140_f.png,bria_2014_top_140_r.png
Mariano Rivera,New York Yankees,2014,2013,P,topps,42,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mariano Rivera,New York Yankees,2014,2013,P,topps,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Don Mattingly,New York Yankees,2008,2007,1B,upper deck,YSL-5174,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yankee Stadium Legacy (Game 5174: 09/21/1989),NA,NA
Dave Winfield,New York Yankees,2008,2007,OF,upper deck,YSL-5074,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yankee Stadium Legacy (Game 5074: 08/16/1988),NA,NA
Mickey Mantle,New York Yankees,2012,2011,OF,topps,ACA-24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,A Cut Above,NA,NA
Don Mattingly,New York Yankees,2013,2012,1B,topps,CH-13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Chasing History,NA,NA
Carlos Beltran,New York Yankees,2014,2013,OF,topps,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jacoby Ellsbury,New York Yankees,2014,2013,OF,topps,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Babe Ruth,New York Yankees,2013,2012,OF,topps,CH-11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Chasing History,NA,NA
Mickey Mantle,New York Yankees,2012,2011,OF,topps,TM-96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Topps Mini,mick_2012_top_tm96_f.png,mick_2012_top_tm96_r.png
Mickey Mantle,New York Yankees,2012,1968,OF,topps,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Babe Ruth,New York Yankees,2011,2010,OF,topps,BR60,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Babe Ruth Card,NA,NA
Mickey Mantle,New York Yankees,2011,1968,OF,topps,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,mick_2011_top_7_f.png,mick_2011_top_7_r.png
Derek Jeter,New York Yankees,2011,2010,SS,topps,330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Robinson Cano,New York Yankees,2011,2010,2B,topps,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Teixeira,New York Yankees,2012,2011,1B,topps,234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Series One Checklist (Most Dual Switch-Hit HR Games),NA,NA
Mark Teixeira,New York Yankees,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Superstar,NA,NA
Derek Jeter,New York Yankees,2008,2007,SS,upper deck,SQ-42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Starquest,NA,NA
Alex Rodriguez,New York Yankees,2008,2007,3B,upper deck,730,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Season Highlights,NA,NA
Robinson Cano,New York Yankees,2012,2011,2B,topps,99,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Rodriguez,New York Yankees,2013,2012,3B,topps,303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Series One Checklist (Record Chase: 3,000 Hits)",NA,NA
Alex Rodriguez,New York Yankees,2012,2011,3B,topps,53,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Chavez,New York Yankees,2013,2012,3B,topps,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Teixeira,New York Yankees,2011,2010,1B,topps,450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ramiro Peña,New York Yankees,2010,2009,SS,topps,344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jesus Montero,New York Yankees,2012,2011,C,topps,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alex Rodriguez,New York Yankees,2011,2010,3B,topps,50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Factory Set Limited Edition,NA,NA
Phil Hughes,New York Yankees,2011,2010,P,topps,475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
CC Sabathia,New York Yankees,2010,2009,P,topps,none,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,One is Superstar,NA,NA
CC Sabathia,New York Yankees,2012,2011,P,topps,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
CC Sabathia,New York Yankees,2013,2012,P,topps,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
CC Sabathia,New York Yankees,2011,2010,P,topps,102,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mariano Rivera,New York Yankees,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mariano Rivera,New York Yankees,2011,2010,P,topps,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
