name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Oakland Athletics,2011,2010,team,topps,204,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Sogard,Oakland Athletics,2014,2013,2B,topps,135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Young,Oakland Athletics,2014,2013,OF,topps,311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Choice,Oakland Athletics,2014,2013,OF,topps,27,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Coco Crisp,Oakland Athletics,2014,2013,OF,topps,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Donaldson,Oakland Athletics,2014,2013,3B,topps,134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,FN-13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,The Future Is Now (Home Sweet Home),NA,NA
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Cook,Oakland Athletics,2014,2013,P,topps,243,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dan Straily,Oakland Athletics,2014,2013,P,topps,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Doolittle,Oakland Athletics,2014,2013,P,topps,226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alberto Callaspo,Oakland Athletics,2014,2013,2B,topps,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Seth Smith,Oakland Athletics,2014,2013,OF,topps,205,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Oakland Athletics,2014,2013,C,topps,104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jim Johnson,Oakland Athletics,2014,2013,P,topps,487,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Derek Norris,Oakland Athletics,2014,2013,C,topps,346,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Craig Gentry,Oakland Athletics,2014,2013,OF,topps,477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nate Freiman,Oakland Athletics,2014,2013,DH,topps,343,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tommy Milone,Oakland Athletics,2014,2013,P,topps,572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
A.J. Griffin,Oakland Athletics,2014,2013,P,topps,410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jed Lowrie,Oakland Athletics,2014,2013,SS,topps,607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Reddick,Oakland Athletics,2014,2013,OF,topps,416,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jarrod Parker,Oakland Athletics,2014,2013,P,topps,355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Moss,Oakland Athletics,2014,2013,1B,topps,471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Scott Kazmir,Oakland Athletics,2014,2013,P,topps,371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sonny Gray,Oakland Athletics,2014,2013,P,topps,508,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
John Jaso,Oakland Athletics,2014,2013,C,topps,407,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Duchscherer,Oakland Athletics,2008,2007,P,upper deck,600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brett Anderson,Oakland Athletics,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gio Gonzalez,Oakland Athletics,2011,2010,P,topps,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brett Anderson,Oakland Athletics,2011,2010,P,topps,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Cahil,Oakland Athletics,2009,2008,P,topps,403,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Duchscherer,Oakland Athletics,2010,2009,P,topps,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrew Bailey,Oakland Athletics,2011,2010,P,topps,280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Cahil,Oakland Athletics,2011,2010,P,topps,436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rich Harden,Oakland Athletics,2011,2010,P,topps,535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dallas Braden,Oakland Athletics,2011,2010,P,topps,567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Landon Powell,Oakland Athletics,2011,2010,C,topps,348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Drew Pomeranz,Oakland Athletics,2014,2013,P,topps,US-322,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Doolittle,Oakland Athletics,2014,2013,P,topps,305,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daric Barton,Oakland Athletics,2014,2013,1B,topps,US-76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jesse Chavez,Oakland Athletics,2014,2013,P,topps,US-243,0,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Oakland Athletics,2011,2010,C,topps,79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Oakland Athletics,2008,2007,C,upper deck,601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Oakland Athletics,2010,2009,C,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Stephen Drew,Oakland Athletics,2013,2012,SS,topps,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Ellis,Oakland Athletics,2011,2010,2B,topps,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
