name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,San Francisco Giants,2011,2010,team,topps,552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sergio Romo,San Francisco Giants,2014,2013,P,topps,UP-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fired Up,NA,NA
Matt Cain,San Francisco Giants,2014,2013,P,topps,91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Belt,San Francisco Giants,2014,2013,1B,topps,37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark DeRosa,San Francisco Giants,2011,2010,OF,topps,434,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Guillen,San Francisco Giants,2011,2010,OF,topps,226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Darren Ford,San Francisco Giants,2011,2010,OF,topps,292,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aaron Rowand,San Francisco Giants,2011,2010,OF,topps,363,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pat Burrell,San Francisco Giants,2011,2010,OF,topps,546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cody Ross,San Francisco Giants,2011,2010,OF,topps,648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andres Torres,San Francisco Giants,2011,2010,OF,topps,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pablo Sandoval,San Francisco Giants,2011,2010,3B,topps,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Belt,San Francisco Giants,2011,2010,1B,topps,605,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,bran_2011_top_605_f.png,bran_2011_top_605_r.png
Edgar Renteria,San Francisco Giants,2011,2010,SS,topps,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark DeRosa,San Francisco Giants,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Fontenot,San Francisco Giants,2011,2010,2B,topps,577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Freddy Sanchez,San Francisco Giants,2011,2010,2B,topps,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Belt,San Francisco Giants,2012,2011,1B,topps,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aubrey Huff,San Francisco Giants,2012,2011,1B,topps,591,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Travis Ishikawa,San Francisco Giants,2011,2010,1B,topps,599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aubrey Huff,San Francisco Giants,2011,2010,1B,topps,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Buster Posey,San Francisco Giants,2011,2010,C,topps,282,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2010 NL Rookie of the Year,NA,NA
Buster Posey,San Francisco Giants,2011,2010,C,topps,198,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Factory Set Limited Edition,NA,NA
Buster Posey,San Francisco Giants,2011,2010,C,topps,198,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Buster Posey,San Francisco Giants,2011,2010,C,topps,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Buster Posey,San Francisco Giants,2012,2011,C,topps,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Barry Zito,San Francisco Giants,2011,2010,P,topps,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Affeldt,San Francisco Giants,2011,2010,P,topps,571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Cain,San Francisco Giants,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Lincecum,San Francisco Giants,2010,2009,P,upper deck,440,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Vogelsong,San Francisco Giants,2013,2012,P,topps,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Madison Bumgarner,San Francisco Giants,2013,2012,P,topps,256,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,World Series (2012 World Series Game #2),NA,NA
Tim Lincecum,San Francisco Giants,2011,2010,P,topps,PDC4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Purple Diamond Cuts,NA,NA
Madison Bumgarner,San Francisco Giants,2011,2010,P,topps,555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Cain,San Francisco Giants,2011,2010,P,topps,570,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Lincecum,San Francisco Giants,2011,2010,P,topps,590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Wilson,San Francisco Giants,2011,2010,P,topps,210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Sanchez,San Francisco Giants,2011,2010,P,topps,229,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Wilson,San Francisco Giants,2012,2011,P,topps,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Lincecum,San Francisco Giants,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Sanchez,San Francisco Giants,2010,2009,P,upper deck,433,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Wilson,San Francisco Giants,2013,2012,P,topps,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Heath Hembree,San Francisco Giants,2014,2013,P,topps,249,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Crawford,San Francisco Giants,2014,2013,SS,topps,119,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hector Sanchez,San Francisco Giants,2014,2013,C,topps,399,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Madison Bumgarner,San Francisco Giants,2014,2013,P,topps,537,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Cain,San Francisco Giants,2014,2013,P,topps,347,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Santiago Casilla,San Francisco Giants,2014,2013,P,topps,636,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Affeldt,San Francisco Giants,2014,2013,P,topps,545,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Angel Pagan,San Francisco Giants,2014,2013,OF,topps,442,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Lincecum,San Francisco Giants,2014,2013,P,topps,397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Morse,San Francisco Giants,2014,2013,OF,topps,569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Marco Scutaro,San Francisco Giants,2014,2013,2B,topps,423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Roger Kieschnick,San Francisco Giants,2014,2013,OF,topps,430,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tim Hudson,San Francisco Giants,2014,2013,P,topps,446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hunter Pence,San Francisco Giants,2014,2013,OF,topps,412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Gregor Blanco,San Francisco Giants,2014,2013,OF,topps,270,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yusmeiro Petit,San Francisco Giants,2014,2013,P,topps,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Vogelsong,San Francisco Giants,2014,2013,P,topps,267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andres Torres,San Francisco Giants,2014,2013,OF,topps,303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Buster Posey,San Francisco Giants,2014,2013,C,topps,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sergio Romo,San Francisco Giants,2014,2013,P,topps,251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Belt,San Francisco Giants,2014,2013,1B,topps,284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pablo Sandoval,San Francisco Giants,2014,2013,3B,topps,327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hunter Pence,San Francisco Giants,2014,2013,OF,topps,US-270,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joaquin Arias,San Francisco Giants,2014,2013,3B,topps,US-82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Barry Zito,San Francisco Giants,2014,2013,P,topps,SV-9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Super Veteran,NA,NA
Pat Sheridan,San Francisco Giants,1990,1989,OF,upper deck,460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Strain,San Francisco Giants,1981,1980,2B,topps,361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Pettini,San Francisco Giants,1982,1981,"3B, SS",topps,568,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Billy Smith,San Francisco Giants,1982,1981,"2B, SS",topps,593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Belt,San Francisco Giants,2020,2019,1B,topps,176,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jerry Martin,San Francisco Giants,1982,1981,OF,donruss,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dave Dravecky,San Francisco Giants,1989,1988,P,upper deck,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Cornell,San Francisco Giants,1985,1984,P,topps,514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mark Davis,San Francisco Giants,1985,1984,P,topps,541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Max Venable,San Francisco Giants,1984,1983,OF,topps,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Greg Minton,San Francisco Giants,1984,1983,P,topps,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tracy Jones,San Francisco Giants,1989,1988,OF,upper deck,798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Wilson,San Francisco Giants,1989,1988,P,upper deck,733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rick Reuschel,San Francisco Giants,1989,1988,P,upper deck,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rob Thompson,San Francisco Giants,1989,1988,2B,upper deck,172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joe Pettini,San Francisco Giants,1983,1982,"3B, SS",topps,143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Joel Youngblood,San Francisco Giants,1984,1984,"3B, OF",donruss,152,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Leaf variant,NA,NA
Pablo Sandoval,San Francisco Giants,2019,2018,"1B, 3B",topps,428,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Evan Longoria,San Francisco Giants,2019,2018,3B,topps,390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
