name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Seattle Mariners,2011,2010,team,topps,589,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Roenis Elias,Seattle Mariners,2014,2013,P,topps,US-220,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Austin Jackson,Seattle Mariners,2014,2013,OF,topps,US-168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
James Paxton,Seattle Mariners,2014,2013,P,topps,123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Zunino,Seattle Mariners,2014,2013,C,topps,293,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Franklin Gutierrez,Seattle Mariners,2014,2013,OF,topps,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nick Franklin,Seattle Mariners,2014,2013,2B,topps,169,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dustin Ackley,Seattle Mariners,2014,2013,2B,topps,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,56,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,taij_2014_top_56_f.png,taij_2014_top_56_r.png
Abraham Almonte,Seattle Mariners,2014,2013,OF,topps,256,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Smoak,Seattle Mariners,2014,2013,1B,topps,213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Danny Farquhar,Seattle Mariners,2014,2013,P,topps,244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hisashi Iwakuma,Seattle Mariners,2014,2013,P,topps,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Erasmo Ramirez,Seattle Mariners,2014,2013,P,topps,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kendrys Morales,Seattle Mariners,2014,2013,DH,topps,156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kyle Seager,Seattle Mariners,2014,2013,3B,topps,73,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Saunders,Seattle Mariners,2014,2013,OF,topps,224,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Fernando Rodney,Seattle Mariners,2014,2013,P,topps,497,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Logan Morrison,Seattle Mariners,2014,2013,1B,topps,490,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Corey Hart,Seattle Mariners,2014,2013,OF,topps,657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brad Miller,Seattle Mariners,2014,2013,SS,topps,342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Felix Hernandez,Seattle Mariners,2014,2013,P,topps,401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jesus Montero,Seattle Mariners,2014,2013,C,topps,529,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Robinson Cano,Seattle Mariners,2014,2013,2B,topps,500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,FN-44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,The Future Is Now (Blazing Start),NA,NA
