name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
"Cabrera, Mauer, Trout",Split Card,2014,2013,split,topps,103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,American League - 2013 Batting Average Leaders,NA,NA
"Sabathia, Lester, Price",Split Card,2011,2010,split,topps,124,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2010 AL Wins Leaders,NA,NA
"Goldschmidt, Bruce, Freeman",Split Card,2014,2013,split,topps,143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National League - 2013 Runs Batted In Leaders,NA,NA
"Kershaw, Fernandez, Harvey",Split Card,2014,2013,split,topps,113,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National League - 2013 Earn Run Average Leaders,NA,NA
"Hernandez, Buchholz, Price",Split Card,2011,2010,split,topps,235,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Topps Diamond Anniversary, 2010 AL Earned Run Average Leaders",NA,NA
"Davis, Cabrera, Jones",Split Card,2014,2013,split,topps,153,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,American League - 2013 Runs Batted In Leaders,NA,NA
"Wainwright, Zimmerman, Kershaw",Split Card,2014,2013,split,topps,294,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National League - 2013 Wins Leaders,NA,NA
"Alvarez, Goldschmidt, Bruce",Split Card,2014,2013,split,topps,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National League - 2013 Home Run Leaders,NA,NA
"Davis, Cabrera, Encarnacion",Split Card,2014,2013,split,topps,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,American League - 2013 Home Run Leaders,NA,NA
"Sanchez, Colon, Iwakuma",Split Card,2014,2013,split,topps,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,American League - 2013 Earn Run Average Leaders,NA,NA
"Cuddyer, Johnson, Freeman",Split Card,2014,2013,split,topps,237,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National League - 2013 Batting Average Leaders,NA,NA
