name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,St. Louis Cardinals,2011,2010,team,topps,334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Holliday,St. Louis Cardinals,2014,2013,OF,topps,189,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kolten Wong,St. Louis Cardinals,2014,2013,2B,topps,141,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,kolt_2014_top_141_f.png,kolt_2014_top_141_r.png
Shelby Miller,St. Louis Cardinals,2014,2013,P,topps,204,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Lou Brock,St. Louis Cardinals,2013,2012,OF,topps,CH-14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Chasing History (Career Stolen Bases),NA,NA
St. Louis Cardinals,St. Louis Cardinals,2012,2011,team,topps,53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,World Series 2011 (Game #7),NA,NA
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Factory Set Limited Edition,albe_2011_top_100_f.png,albe_2011_top_100_r.png
Albert Pujols,St. Louis Cardinals,2010,2009,1B,upper deck,SB-84,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Biography (2009 Season, June 13th, Pujols collects a pair of longballs, leading the league with 22)",NA,NA
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,TT-50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Topps Town,NA,NA
Albert Pujols,St. Louis Cardinals,2012,2011,1B,topps,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,World Series (2001 Game #3),NA,NA
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,547,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First to 30+ HR in Each of First 10 Seasons,NA,NA
Ryan Ludwick,St. Louis Cardinals,2009,2008,OF,upper deck,271,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edtion (Gold Border),NA,NA
David Freese,St. Louis Cardinals,2011,2010,3B,topps,452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Duncan,St. Louis Cardinals,2009,2008,OF,topps,269,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edtion (Gold Border),NA,NA
Colby Rasmus,St. Louis Cardinals,2011,2010,OF,topps,448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Holliday,St. Louis Cardinals,2011,2010,OF,topps,490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Skip Schumaker,St. Louis Cardinals,2008,2007,OF,topps,654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jon Jay,St. Louis Cardinals,2013,2012,OF,topps,224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Allen Craig,St. Louis Cardinals,2013,2012,OF,topps,321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jon Jay,St. Louis Cardinals,2011,2010,OF,topps,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Holliday,St. Louis Cardinals,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Descalso,St. Louis Cardinals,2011,2010,2B,topps,87,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Daniel Descalso,St. Louis Cardinals,2013,2012,2B,topps,190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Skip Schumaker,St. Louis Cardinals,2010,2009,2B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brendan Ryan,St. Louis Cardinals,2011,2010,SS,topps,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Pedre Feliz,St. Louis Cardinals,2011,2010,3B,topps,212,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Skip Schumaker,St. Louis Cardinals,2011,2010,2B,topps,429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Theriot,St. Louis Cardinals,2011,2010,2B,topps,438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yadier Molina,St. Louis Cardinals,2011,2010,C,topps,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yadier Molina,St. Louis Cardinals,2010,2009,C,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yadier Molina,St. Louis Cardinals,2012,2011,C,topps,154,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Adam Wainwright,St. Louis Cardinals,2011,2010,P,topps,645,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mitchell Boggs,St. Louis Cardinals,2010,2009,P,upper deck,470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Fuentes,St. Louis Cardinals,2013,2012,P,topps,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Adam Wainwright,St. Louis Cardinals,2012,2011,P,topps,60,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jaime Garcia,St. Louis Cardinals,2012,2011,P,topps,171,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jaime Garcia,St. Louis Cardinals,2011,2010,P,topps,643,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Kyle Lohse,St. Louis Cardinals,2011,2010,P,topps,553,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Motte,St. Louis Cardinals,2011,2010,P,topps,538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Franklin,St. Louis Cardinals,2011,2010,P,topps,548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trever Miller,St. Louis Cardinals,2011,2010,P,topps,373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Carpenter,St. Louis Cardinals,2011,2010,P,topps,299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
