name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Tampa Bay Rays,2011,2010,team,topps,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Raymond,Tampa Bay Rays,2014,2013,mascot,topps,M-9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Moore,Tampa Bay Rays,2014,2013,P,topps,106,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Desmond Jennings,Tampa Bay Rays,2014,2013,OF,topps,84,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Hellickson,Tampa Bay Rays,2014,2013,P,topps,34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Evan Longoria,Tampa Bay Rays,2011,2010,3B,topps,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Rodriguez,Tampa Bay Rays,2011,2010,2B,topps,397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Keppinger,Tampa Bay Rays,2013,2012,2B,topps,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Evan Longoria,Tampa Bay Rays,2013,2012,3B,topps,103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Bartlett,Tampa Bay Rays,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Evan Longoria,Tampa Bay Rays,2012,2011,3B,topps,FS-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fantasy Squad,NA,NA
