name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Texas Rangers,2011,2010,team,topps,543,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Hamilton,Texas Rangers,2012,2011,OF,topps,ODS-19,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Opening Day Stars (3D-ish card),josh_2012_top_ods19_f.png,josh_2012_top_ods19_r.png
Ian Kinsler,Texas Rangers,2010,2009,2B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Young,Texas Rangers,2012,2011,DH,topps,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Derek Holland,Texas Rangers,2012,2011,P,topps,72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andruw Jones,Texas Rangers,2010,2009,DH,topps,192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jorge Cantu,Texas Rangers,2011,2010,1B,topps,112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cristian Guzman,Texas Rangers,2011,2010,2B,topps,327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Vladimir Guerrero,Texas Rangers,2011,2010,DH,topps,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Choice,Texas Rangers,2014,2013,OF,topps,MB-11,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Koji Uehara,Texas Rangers,2012,2011,P,topps,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Colby Lewis,Texas Rangers,2012,2011,P,topps,215,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Colby Lewis,Texas Rangers,2013,2012,P,topps,248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cliff Lee,Texas Rangers,2011,2010,P,topps,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Neftali Feliz,Texas Rangers,2013,2012,P,topps,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Taylor Teagarden,Texas Rangers,2011,2010,C,topps,371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
C.J. Wilson,Texas Rangers,2011,2010,P,topps,323,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Colby Lewis,Texas Rangers,2011,2010,P,topps,352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Derek Holland,Texas Rangers,2011,2010,P,topps,413,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Neftali Feliz,Texas Rangers,2011,2010,P,topps,600,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Omar Beltre,Texas Rangers,2011,2010,P,topps,621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Neftali Feliz,Texas Rangers,2011,2010,P,topps,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Neftali Feliz,Texas Rangers,2011,2010,P,topps,26,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2010 AL Rookie of the Year,NA,NA
Julio Borbon,Texas Rangers,2011,2010,OF,topps,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Harrison,Texas Rangers,2011,2010,P,topps,432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Scott Feldman,Texas Rangers,2011,2010,P,topps,498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mason Tobin,Texas Rangers,2011,2010,P,topps,343,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Murphy,Texas Rangers,2011,2010,OF,topps,603,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Hamilton,Texas Rangers,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,Hot Streak,NA,NA
Josh Hamilton,Texas Rangers,2010,2009,OF,topps,FCTTT7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Code to unlock an online card,NA,NA
Elvis Andrus,Texas Rangers,2011,2010,SS,topps,435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Young,Texas Rangers,2011,2010,3B,topps,320,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Harrison,Texas Rangers,2014,2013,P,topps,536,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Derek Holland,Texas Rangers,2014,2013,P,topps,655,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tommy Hanson,Texas Rangers,2014,2013,P,topps,626,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Geovany Soto,Texas Rangers,2014,2013,C,topps,389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nelson Cruz,Texas Rangers,2011,2010,OF,topps,236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
