name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,image_front,image_rear,notes
Daniel Hudson,Arizona Diamondbacks,2013,2012,P,topps,41,0,0,0,0,1,1,0,0,0,0,0,green,1,0,0,0,0,0,0,0,1,dani_2013_top_41_f.png,dani_2013_top_41_r.png,"Shiny, Emerald green"
Jason Kubel,Arizona Diamondbacks,2013,2012,OF,topps,129,1,0,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,jaso_2013_top_129_f.png,jaso_2013_top_129_r.png,NA
Freddie Freeman,Atlanta Braves,2011,2010,1B,topps,145,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fred_2011_top_145_f.png,fred_2011_top_145_r.png,NA
Max Fried,Atlanta Braves,2021,2020,P,topps,262,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,max_2021_top_262_f.png,max_2021_top_262_r.png,NA
John Smoltz,Atlanta Braves,1990,1989,P,score,370,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,john_1990_sco_370_f.png,john_1990_sco_370_r.png,NA
Chipper Jones,Atlanta Braves,2022,2021,3B,topps,T87-59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,chip_2022_top_t8759_f.png,chip_2022_top_t8759_r.png,NA
Dansby Swanson,Atlanta Braves,2021,2020,SS,topps,241,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,dans_2021_top_241_f.png,dans_2021_top_241_r.png,NA
Freddie Freeman,Atlanta Braves,2021,2020,1B,topps,173,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,fred_2021_top_173_f.png,fred_2021_top_173_r.png,NA
Ian Anderson,Atlanta Braves,2022,2021,P,topps,615,1,0,0,0,1,1,0,0,0,0,0,brown,0,0,0,0,0,0,1515/2022,0,1,ian_2022_top_615_f.png,ian_2022_top_615_r.png,NA
Spencer Strider,Atlanta Braves,2022,2021,P,topps,509,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,spen_2022_top_509_f.png,spen_2022_top_509_r.png,NA
Ronald Acuna Jr.,Atlanta Braves,2022,2021,OF,topps,GNC-8,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,rona_2022_top_gnc8_f.png,rona_2022_top_gnc8_r.png,Generation Now
Ozzie Albies,Atlanta Braves,2023,2022,2B,topps,T88-63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,ozzi_2023_top_t8863_f.png,ozzi_2023_top_t8863_r.png,NA
Michael Harris II,Atlanta Braves,2023,2022,OF,topps,SMLB-35,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mich_2023_top_smlb35_f.png,mich_2023_top_smlb35_r.png,Stars of MLB
Ryan Doumit,Atlanta Braves,2014,2013,C,topps,US-108,0,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,0122/2014,0,1,ryan_2014_top_us108_f.png,ryan_2014_top_us108_r.png,NA
Manny Machado,Baltimore Orioles,2014,2013,3B,topps,128,0,0,1,0,1,1,0,1,0,0,0,blue,1,0,0,0,0,0,0,0,1,mann_2014_top_128_f.png,mann_2014_top_128_r.png,"Future Stars (Shiny Blue), Dated (March 30, 2014)"
Cal Ripken Jr.,Baltimore Orioles,1990,1989,SS,upper deck,347,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cal_1990_upp_347_f.png,cal_1990_upp_347_r.png,NA
Cal Ripken Jr.,Baltimore Orioles,2021,2020,SS,topps,HH-13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,cal_2021_top_hh13_f.png,cal_2021_top_hh13_r.png,"Historical Hits (July 10th, 2001)"
Dylan Bundy,Baltimore Orioles,2019,2018,P,topps,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,dyla_2019_top_5_f.png,dyla_2019_top_5_r.png,NA
Cal Ripken Jr.,Baltimore Orioles,2021,2020,SS,topps,498,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,cal_2021_top_498_f.png,cal_2021_top_498_r.png,NA
Adley Rutschman,Baltimore Orioles,2023,2022,C,topps,SMLB-22,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,adle_2023_top_smlb22_f.png,adle_2023_top_smlb22_r.png,Stars of MLB (position printed as OF on front)
Jacoby Ellsbury,Boston Red Sox,2012,2011,OF,topps,ODS-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jaco_2012_top_ods11_f.png,jaco_2012_top_ods11_r.png,Opening Day Stars (3D card)
Clay Buchholz,Boston Red Sox,2014,2013,P,topps,53,0,0,0,0,1,1,0,0,0,0,0,yellow,0,0,0,0,0,0,0,0,1,clay_2014_top_53_f.png,clay_2014_top_53_r.png,NA
Xander Bogaerts,Boston Red Sox,2014,2013,SS,topps,133,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,xand_2014_top_133_f.png,xand_2014_top_133_r.png,NA
Jake Peavy,Boston Red Sox,2014,2013,P,topps,307,0,0,0,0,1,1,0,0,0,0,0,yellow,0,0,0,0,0,0,0,0,1,jake_2014_top_307_f.png,jake_2014_top_307_r.png,NA
Mookie Betts,Boston Red Sox,2014,2013,OF,topps,US-20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,mook_2014_top_us20_f.png,mook_2014_top_us20_r.png,NA
Xander Bogaerts,Boston Red Sox,2014,2013,SS,topps,178,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,xand_2014_top_178_f.png,xand_2014_top_178_r.png,NA
Dustin Pedroia,Boston Red Sox,2013,2012,2B,topps,TM-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dust_2013_top_tm11_f.png,dust_2013_top_tm11_r.png,Topps Mini
David Ortiz,Boston Red Sox,2021,2020,DH,topps,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,davi_2021_top_19_f.png,davi_2021_top_19_r.png,NA
