name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Arizona Diamondbacks,2011,2010,team,topps,53,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerardo Parra,Arizona Diamondbacks,2013,2012,OF,topps,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wade Miley,Arizona Diamondbacks,2014,2013,P,topps,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerardo Parra,Arizona Diamondbacks,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Upton,Arizona Diamondbacks,2012,2011,OF,topps,75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patrick Corbin,Arizona Diamondbacks,2014,2013,P,topps,68,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Goldschmidt,Arizona Diamondbacks,2014,2013,1B,topps,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerardo Parra,Arizona Diamondbacks,2011,2010,OF,topps,484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Upton,Arizona Diamondbacks,2011,2010,OF,topps,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Young,Arizona Diamondbacks,2010,2009,OF,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Young,Arizona Diamondbacks,2009,2008,OF,upper deck,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Allen,Arizona Diamondbacks,2011,2010,OF,topps,457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kelly Johnson,Arizona Diamondbacks,2011,2010,2B,topps,419,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miguel Montero,Arizona Diamondbacks,2011,2010,C,topps,234,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juan Miranda,Arizona Diamondbacks,2011,2010,1B,topps,606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Hernandez,Arizona Diamondbacks,2012,2011,P,topps,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Reynolds,Arizona Diamondbacks,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephen Drew ,Arizona Diamondbacks,2011,2010,SS,topps,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Goldschmidt,Arizona Diamondbacks,2014,2013,1B,topps,US 215,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chase Anderson,Arizona Diamondbacks,2014,2013,P,topps,MB-29,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Joe Saunders,Arizona Diamondbacks,2011,2010,P,topps,453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ian Kennedy,Arizona Diamondbacks,2011,2010,P,topps,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daniel Hudson,Arizona Diamondbacks,2013,2012,P,topps,41,0,0,0,0,1,1,0,0,0,0,0,green,1,0,0,0,0,0,0,0,"Shiny, Emerald green"
Joe Patterson,Arizona Diamondbacks,2011,2010,P,topps,604,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J.J. Putz,Arizona Diamondbacks,2011,2010,P,topps,601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daniel Hudson,Arizona Diamondbacks,2011,2010,P,topps,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J.J. Putz,Arizona Diamondbacks,2013,2012,P,topps,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Goldschmidt,Arizona Diamondbacks,2014,2013,1B,topps,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J.J. Putz,Arizona Diamondbacks,2014,2013,P,topps,402,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patrick Corbin,Arizona Diamondbacks,2014,2013,P,topps,611,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Haren,Arizona Diamondbacks,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Martin Prado,Arizona Diamondbacks,2014,2013,3B,topps,349,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barry Enright,Arizona Diamondbacks,2011,2010,P,topps,386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juan Gutierrez,Arizona Diamondbacks,2011,2010,P,topps,291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brad Ziegler,Arizona Diamondbacks,2014,2013,P,topps,556,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerardo Parra,Arizona Diamondbacks,2014,2013,OF,topps,379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wade Miley,Arizona Diamondbacks,2014,2013,P,topps,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eury De La Rosa,Arizona Diamondbacks,2014,2013,P,topps,456,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Addison Reed,Arizona Diamondbacks,2014,2013,P,topps,551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cody Ross,Arizona Diamondbacks,2014,2013,OF,topps,339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Holmberg,Arizona Diamondbacks,2014,2013,P,topps,242,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Didi Gregorius,Arizona Diamondbacks,2014,2013,SS,topps,562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Goldschmidt,Arizona Diamondbacks,2018,2017,1B,topps,AD-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Miguel Montero,Arizona Diamondbacks,2014,2013,C,topps,287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon McCarthy,Arizona Diamondbacks,2014,2013,P,topps,291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Davidson,Arizona Diamondbacks,2014,2013,3B,topps,199,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Skaggs,Arizona Diamondbacks,2014,2013,P,topps,63,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Owings,Arizona Diamondbacks,2014,2013,SS,topps,232,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aaron Hill,Arizona Diamondbacks,2014,2013,2B,topps,292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cliff Pennington,Arizona Diamondbacks,2014,2013,SS,topps,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trevor Cahill,Arizona Diamondbacks,2014,2013,P,topps,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Owings,Arizona Diamondbacks,2018,2017,"2B, OF",topps,AD-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Patrick Corbin,Arizona Diamondbacks,2018,2017,P,topps,AD-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Chris Young,Arizona Diamondbacks,2011,2010,OF,topps,316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eric Byrnes,Arizona Diamondbacks,2008,2007,OF,upper deck,406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Taijuan Walker,Arizona Diamondbacks,2018,2017,P,topps,AD-14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
A.J. Pollock,Arizona Diamondbacks,2018,2017,OF,topps,AD-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Jake Lamb,Arizona Diamondbacks,2018,2017,3B,topps,AD-8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Nick Ahmed,Arizona Diamondbacks,2018,2017,SS,topps,AD-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Shelby Miller,Arizona Diamondbacks,2018,2017,P,topps,AD-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Jeff Mathis,Arizona Diamondbacks,2018,2017,C,topps,AD-5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Robbie Ray,Arizona Diamondbacks,2018,2017,P,topps,AD-6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Zack Godley,Arizona Diamondbacks,2018,2017,P,topps,AD-7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
J.D. Martinez,Arizona Diamondbacks,2018,2017,OF,topps,AD-9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
David Peralta,Arizona Diamondbacks,2018,2017,OF,topps,AD-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Brandon Drury,Arizona Diamondbacks,2018,2017,2B,topps,AD-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Tasmany Tomas,Arizona Diamondbacks,2018,2017,OF,topps,AD-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
Archie Bradley,Arizona Diamondbacks,2018,2017,P,topps,AD-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Team Set
