name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Atlanta Braves,2011,2010,team,topps,319,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Kimbrel,Atlanta Braves,2014,2013,P,topps,70,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrelton Simmons,Atlanta Braves,2014,2013,SS,topps,57,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Schafer,Atlanta Braves,2011,2010,OF,topps,437,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Heyward,Atlanta Braves,2011,2010,OF,topps,510,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Diaz,Atlanta Braves,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rick Ankiel,Atlanta Braves,2011,2010,OF,topps,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nate McLouth,Atlanta Braves,2011,2010,OF,topps,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eric Hinske,Atlanta Braves,2011,2010,OF,topps,482,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Heyward,Atlanta Braves,2011,2010,OF,topps,635,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Jason Heyward,Atlanta Braves,2012,2011,OF,topps,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Uggla,Atlanta Braves,2011,2010,2B,topps,640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Freddie Freeman,Atlanta Braves,2011,2010,1B,topps,145,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
