name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Boston Red Sox,2011,2010,team,topps,324,0,0,0,0,2,0,
Jacoby Ellsbury,Boston Red Sox,2012,2011,OF,topps,ODS-11,0,0,1,0,1,1,Opening Day Stars (3D card)
Jacoby Ellsbury,Boston Red Sox,2012,2011,OF,topps,170,1,0,0,0,1,0,
Jacoby Ellsbury,Boston Red Sox,2011,2010,OF,topps,351,0,0,0,0,1,0,
Dustin Pedroia,Boston Red Sox,2011,2010,2B,topps,TT-47,0,0,0,0,1,1,Topps Town
Dustin Pedroia,Boston Red Sox,2013,2012,2B,topps,15,0,0,0,0,1,0,
Dustin Pedroia,Boston Red Sox,2011,2010,2B,topps,480,0,0,0,0,1,0,
Adrian Beltre,Boston Red Sox,2011,2010,3B,topps,302,0,0,0,0,2,0,
Kevin Youkilis,Boston Red Sox,2011,2010,3B,topps,500,0,0,0,0,1,0,
Clay Buchholz,Boston Red Sox,2011,2010,P,topps,208,0,0,0,0,1,0,
Victor Martinez,Boston Red Sox,2011,2010,C,topps,218,0,0,0,0,1,0,
Jason Varitek,Boston Red Sox,2008,2007,C,upper deck,433,0,0,0,0,1,0,
Jon Lester,Boston Red Sox,2008,2007,P,upper deck,430,0,0,0,0,1,0,
Clay Buchholz,Boston Red Sox,2012,2011,P,topps,247,0,0,0,0,1,0,
Jonathan Papelbon,Boston Red Sox,2011,2010,P,topps,62,0,0,0,0,2,0,
Daniel Bard,Boston Red Sox,2012,2011,P,topps,61,0,0,0,0,1,0,
Jon Lester,Boston Red Sox,2011,2010,P,topps,3,0,0,0,0,1,0,
Josh Beckett,Boston Red Sox,2011,2010,P,topps,610,0,0,0,0,1,0,
Clay Buchholz,Boston Red Sox,2014,2013,P,topps,53,0,0,0,0,2,1,One is Yellow Border
Dustin Pedroia,Boston Red Sox,2014,2013,2B,topps,166,0,0,0,0,2,0,
John Lester,Boston Red Sox,2014,2013,P,topps,206,1,0,0,0,2,1,World Series (2013 World Series Game 5)
Stephen Drew,Boston Red Sox,2014,2013,SS,topps,585,0,0,0,0,2,0,
Felix Doubront,Boston Red Sox,2014,2013,P,topps,491,1,0,0,0,3,1,One is Red Border
David Ortiz,Boston Red Sox,2014,2013,DH,topps,475,1,0,0,0,2,0,
John Lackey,Boston Red Sox,2014,2013,P,topps,632,1,0,0,0,1,0,
Mike Napoli,Boston Red Sox,2014,2013,1B,topps,473,0,0,0,0,1,0,
Koji Uehara,Boston Red Sox,2014,2013,P,topps,426,0,0,0,0,2,0,
Jackie Bradley Jr.,Boston Red Sox,2014,2013,OF,topps,439,0,0,0,0,2,1,Future Stars
Jonny Gomes,Boston Red Sox,2014,2013,OF,topps,274,1,0,0,0,1,0,
Mike Napoli,Boston Red Sox,2014,2013,1B,topps,22,1,0,0,0,1,0,World Series (2013 World Series Game 1)
Jonny Gomes,Boston Red Sox,2014,2013,OF,topps,146,1,0,0,0,1,1,World Series (2013 World Series Game 4)
Will Middlebrooks,Boston Red Sox,2014,2013,3B,topps,136,0,0,0,0,1,1,Future Stars
Xander Bogaerts,Boston Red Sox,2014,2013,SS,topps,133,0,1,0,0,2,0,One is Short Print
Jake Peavy,Boston Red Sox,2014,2013,P,topps,307,0,0,0,0,2,1,One is Yellow Border
Jon Lester,Boston Red Sox,2014,2013,P,topps,258,0,0,0,0,1,0,
Joe Kelly,Boston Red Sox,2014,2013,P,topps,US-164,0,0,0,0,1,0,
Will Middlebrooks,Boston Red Sox,2014,2013,3B,topps,75,0,0,1,0,1,1,Future Stars
Jonny Gomes,Boston Red Sox,2014,2013,OF,topps,110,1,0,1,0,1,0,
Marco Scutaro,Boston Red Sox,2011,2010,SS,topps,278,0,0,0,0,1,0,
Mookie Betts,Boston Red Sox,2014,2013,OF,topps,US-20,0,1,0,0,1,1,Topps Chrome
Xander Bogaerts,Boston Red Sox,2014,2013,SS,topps,178,0,1,1,0,1,0,
John Lackey,Boston Red Sox,2011,2010,P,topps,406,0,0,0,0,1,0,
Jed Lowrie,Boston Red Sox,2011,2010,SS,topps,576,0,0,0,0,1,0,
Koji Uehara,Boston Red Sox,2014,2013,P,topps,19,0,0,1,0,1,0,
Jason Varitek,Boston Red Sox,2011,2010,C,topps,115,0,0,0,0,1,0,
Victor Martinez,Boston Red Sox,2011,2010,C,topps,TT-33,0,0,0,0,1,1,Topps Town
Jon Lester,Boston Red Sox,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Daniel Bard,Boston Red Sox,2011,2010,P,topps,464,0,0,0,0,1,0,
Matt Thornton,Boston Red Sox,2014,2013,P,topps,289,0,0,0,0,1,0,
Jarrod Saltalamacchia,Boston Red Sox,2011,2010,C,topps,372,0,0,0,0,1,0,
Clay Buchholz,Boston Red Sox,2014,2013,P,topps,22,0,0,1,0,1,0,
Tim Wakefield,Boston Red Sox,2011,2010,P,topps,364,0,0,0,0,1,0,
Hideki Okajima,Boston Red Sox,2011,2010,P,topps,423,0,0,0,0,1,0,
