name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Chicago Cubs,2011,2010,team,topps,309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Junior Lake,Chicago Cubs,2014,2013,OF,topps,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Junior Lake,Chicago Cubs,2014,2013,OF,topps,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Anthony Rizzo,Chicago Cubs,2014,2013,1B,topps,136,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nate Schierholtz,Chicago Cubs,2014,2013,OF,topps,160,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Chicago, Illinois",Chicago Cubs,2010,2009,stadium,upper deck,545,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Ballparks (info on Wrigley Field),NA,NA
Kosuke Fukudome,Chicago Cubs,2011,2010,OF,topps,582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tyler Colvin,Chicago Cubs,2011,2010,OF,topps,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Marlon Byrd,Chicago Cubs,2011,2010,OF,topps,137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alfonso Soriano,Chicago Cubs,2011,2010,OF,topps,356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David DeJesus,Chicago Cubs,2013,2012,OF,topps,209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Darwin Barney,Chicago Cubs,2013,2012,2B,topps,299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Anthony Rizzo,Chicago Cubs,2013,2012,1B,topps,44,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,Topps All-Star Rookie,NA,NA
Starlin Castro,Chicago Cubs,2012,2011,none,topps,167,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Series One Checklist, Youngest NL Hits Leader",NA,NA
Starlin Castro,Chicago Cubs,2011,2010,SS,topps,247,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Starlin Castro,Chicago Cubs,2012,2011,SS,topps,202,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Starlin Castro,Chicago Cubs,2011,2010,SS,topps,655,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,Topps All-Star Rookie,NA,NA
Darwin Barney,Chicago Cubs,2011,2010,SS,topps,347,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bryan Lahair,Chicago Cubs,2012,2011,1B,topps,394,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Blake DeWitt,Chicago Cubs,2011,2012,2B,topps,628,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Baker,Chicago Cubs,2011,2010,2B,topps,502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aramis Ramirez,Chicago Cubs,2011,2010,3B,topps,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Theriot,Chicago Cubs,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Topps Attax,NA,NA
Geovany Soto,Chicago Cubs,2008,2007,C,upper deck,450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Geovany Soto,Chicago Cubs,2011,2010,C,topps,611,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeff Samardzija,Chicago Cubs,2011,2010,P,topps,564,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Marmol,Chicago Cubs,2011,2010,P,topps,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Zambrano,Chicago Cubs,2011,2010,P,topps,558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Randy Wells,Chicago Cubs,2011,2010,P,topps,481,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
