name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Chicago White Sox,2011,2010,team,topps,161,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Davidson,Chicago White Sox,2014,2013,3B,topps,174,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"March 14, 2013"
Matt Davidson,Chicago White Sox,2014,2013,3B,topps,174,0,1,1,0,1,1,0,0,0,0,0,blue,0,0,0,0,0,0,0,0,"March 14, 2013"
Chris Sale,Chicago White Sox,2014,2013,P,topps,151,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andre Rienzo,Chicago White Sox,2014,2013,P,topps,96,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juan Pierre,Chicago White Sox,2011,2010,OF,topps,422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Quentin,Chicago White Sox,2011,2010,OF,topps,389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Rios,Chicago White Sox,2011,2010,OF,topps,307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Rios,Chicago White Sox,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jermaine Dye,Chicago White Sox,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Anderson,Chicago White Sox,2008,2007,P,upper deck,460,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Rios,Chicago White Sox,2012,2011,OF,topps,SC-6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Superstar Celebrations
Alex Rios,Chicago White Sox,2010,2009,OF,upper deck,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manny Ramirez,Chicago White Sox,2011,2010,DH,topps,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alexei Ramirez,Chicago White Sox,2011,2010,SS,topps,261,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Konerko,Chicago White Sox,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Dunn,Chicago White Sox,2013,2012,DH,topps,CH-30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chasing History, 400th Home Run"
Gordon Beckham,Chicago White Sox,2011,2010,2B,topps,562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Teahen,Chicago White Sox,2011,2010,3B,topps,565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dayan Viciedo,Chicago White Sox,2011,2010,3B,topps,592,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brent Morel,Chicago White Sox,2011,2010,3B,topps,322,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Youkilis,Chicago White Sox,2013,2012,3B,topps,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Konerko,Chicago White Sox,2011,2010,1B,topps,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gordon Beckham,Chicago White Sox,2010,2009,3B,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Omar Vizquel,Chicago White Sox,2011,2010,3B,topps,243,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A.J. Pierzynski,Chicago White Sox,2011,2010,C,topps,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
