name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Cincinnati Reds,2011,2010,team,topps,192,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mat Latos,Cincinnati Reds,2014,2013,P,topps,211,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Phillips,Cincinnati Reds,2014,2013,2B,topps,121,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Heisey,Cincinnati Reds,2011,2010,OF,topps,336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Votto,Cincinnati Reds,2014,2013,1B,topps,BO-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Breaking Out
Drew Stubbs,Cincinnati Reds,2011,2010,OF,topps,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Heisey,Cincinnati Reds,2012,2011,OF,topps,636,0,0,0,0,1,1,0,0,0,0,0,gold,1,0,0,0,0,0,0,0,
Tony Cingrani,Cincinnati Reds,2014,2013,P,topps,201,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jonny Gomes,Cincinnati Reds,2011,2010,OF,topps,598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fred Lewis,Cincinnati Reds,2011,2010,OF,topps,517,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Johnny Cueto,Cincinnati Reds,2014,2013,P,topps,179,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jay Bruce,Cincinnati Reds,2014,2013,OF,topps,109,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jay Bruce,Cincinnati Reds,2011,2010,OF,topps,191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jay Bruce,Cincinnati Reds,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Phillips,Cincinnati Reds,2011,2010,2B,topps,630,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Votto,Cincinnati Reds,2011,2010,1B,topps,211,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010 National League MVP
Joey Votto,Cincinnati Reds,2011,2010,1B,topps,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miguel Cairo,Cincinnati Reds,2011,2010,3B,topps,417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ramon Hernandez,Cincinnati Reds,2011,2010,C,topps,233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Janish,Cincinnati Reds,2011,2010,SS,topps,358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Rolen,Cincinnati Reds,2011,2010,3B,topps,228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juan Francisco,Cincinnati Reds,2011,2010,3B,topps,609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zack Cozart,Cincinnati Reds,2013,2012,SS,topps,202,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
