name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Amed Rosario,Cleveland Guardians,2022,2021,"SS, OF",topps,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shane Bieber,Cleveland Guardians,2022,2021,P,topps,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Naylor,Cleveland Guardians,2022,2021,OF,topps,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eli Morgan,Cleveland Guardians,2022,2021,P,topps,217,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Austin Hedges,Cleveland Guardians,2022,2021,C,topps,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Emmanuel Clase,Cleveland Guardians,2022,2021,P,topps,190,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Jose Ramirez,Cleveland Guardians,2022,2021,3B,topps,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ernie Clement,Cleveland Guardians,2022,2021,"2B, 3B",topps,71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shane Bieber,Cleveland Guardians,2022,2021,P,topps,GN-13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Generation Now,NA,NA
Jose Ramirez,Cleveland Guardians,2022,2021,3B,topps,NTCD-9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,National Trading Card Day,NA,NA
Myles Straw,Cleveland Guardians,2022,2021,OF,topps,654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Quantrill,Cleveland Guardians,2022,2021,P,topps,347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Roberto Perez,Cleveland Guardians,2022,2021,C,topps,618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zach Plesac,Cleveland Guardians,2022,2021,P,topps,377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Logan Allen,Cleveland Guardians,2022,2021,P,topps,604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sandy Leon,Cleveland Guardians,2022,2021,C,topps,353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andres Gimenez,Cleveland Guardians,2022,2021,"SS, OF",topps,504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Triston McKenzie,Cleveland Guardians,2022,2021,P,topps,470,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Team Card,Cleveland Guardians,2022,2021,team,topps,643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bradley Zimmer,Cleveland Guardians,2022,2021,OF,topps,407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Steven Kwan,Cleveland Guardians,2022,2021,OF,topps,245,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
Richie Palacios,Cleveland Guardians,2022,2021,OF,topps,USC169,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Richie Palacios,Cleveland Guardians,2022,2021,OF,topps,USC169,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,NA,rich_2022_top_usc169_f.png,rich_2022_top_usc169_r.png
Steven Kwan,Cleveland Guardians,2022,2021,OF,topps,GNC-7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,Generation Now,NA,NA
Owen Miller,Cleveland Guardians,2023,2022,"1B, 2B",topps,213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cal Quantrill,Cleveland Guardians,2023,2022,P,topps,255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Team Card,Cleveland Guardians,2023,2022,team,topps,271,1,0,0,0,1,1,0,0,0,0,0,silver,1,0,0,0,0,0,0,0,NA,NA,NA,NA
Triston McKenzie,Cleveland Guardians,2023,2022,P,topps,65,0,0,0,0,1,1,0,0,0,0,0,purple,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eli Morgan,Cleveland Guardians,2023,2022,P,topps,223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Emmanuel Clase,Cleveland Guardians,2023,2022,P,topps,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shane Bieber,Cleveland Guardians,2023,2022,P,topps,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Ramirez,Cleveland Guardians,2023,2022,OF,topps,SMLB-7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Stars of MLB,NA,NA
Xzavion Curry,Cleveland Guardians,2023,2022,P,topps,513,0,1,0,0,1,1,0,0,0,0,0,silver,1,0,0,0,0,0,0,0,NA,NA,NA,NA
Gabriel Arias,Cleveland Guardians,2023,2022,"1B, 2B",topps,402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Amed Rosario,Cleveland Guardians,2023,2022,SS,topps,456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Myles Straw,Cleveland Guardians,2023,2022,OF,topps,474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Xzavion Curry,Cleveland Guardians,2023,2022,P,topps,513,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Will Brennan,Cleveland Guardians,2023,2022,OF,topps,453,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
