name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Colorado Rockies,2011,2010,team,topps,283,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Troy Tulowitzki,Colorado Rockies,2014,2013,SS,topps,108,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Seth Smith,Colorado Rockies,2011,2010,OF,topps,301,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Cuddyer,Colorado Rockies,2014,2013,OF,topps,38,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Troy Tulowitzki,Colorado Rockies,2014,2013,SS,topps,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Spilborghs,Colorado Rockies,2011,2010,OF,topps,583,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nolan Arenado,Colorado Rockies,2014,2013,3B,topps,158,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Dexter Fowler,Colorado Rockies,2011,2010,OF,topps,613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Michael Cuddyer,Colorado Rockies,2012,2011,OF,topps,39,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Gonzalez,Colorado Rockies,2013,2012,OF,topps,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Gonzalez,Colorado Rockies,2011,2010,OF,topps,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Holiday,Colorado Rockies,2009,2008,OF,upper deck,94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edition (Gold Border),NA,NA
Dexter Fowler,Colorado Rockies,2012,2011,OF,topps,231,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eric Young Jr.,Colorado Rockies,2011,2010,2B,topps,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ian Stewart,Colorado Rockies,2011,2010,3B,topps,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Todd Helton,Colorado Rockies,2011,2010,1B,topps,220,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Todd Helton,Colorado Rockies,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Troy Tulowitzki,Colorado Rockies,2012,2011,SS,topps,SC-8,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Superstar Celebrations,NA,NA
Troy Tulowitzki,Colorado Rockies,2011,2010,SS,topps,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Troy Tulowitzki,Colorado Rockies,2012,2011,SS,topps,GM-33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Golden Moments (""Tulo"" Too Much)",NA,NA
Troy Tulowitzki,Colorado Rockies,2012,2011,SS,topps,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Troy Tulowitzki,Colorado Rockies,2010,2009,SS,topps,none,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Iannetta,Colorado Rockies,2011,2010,C,topps,560,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Miguel Olivo,Colorado Rockies,2011,2010,C,topps,276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Clint Barmes,Colorado Rockies,2010,2009,2B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Morneau,Colorado Rockies,2014,2013,1B,topps,MB-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,just_2014_top_mb7_f.png,just_2014_top_mb7_r.png
Melvin Mora,Colorado Rockies,2011,2010,3B,topps,286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Hammel,Colorado Rockies,2011,2010,P,topps,338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hudson Street,Colorado Rockies,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aaron Cook,Colorado Rockies,2011,2010,P,topps,230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jason Hammel,Colorado Rockies,2011,2010,P,topps,642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Wheeler,Colorado Rockies,2014,2013,1B,topps,US-227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ramon Hernandez,Colorado Rockies,2013,2012,C,topps,165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hudson Street,Colorado Rockies,2011,2010,P,topps,507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ubaldo Jimenez,Colorado Rockies,2011,2010,P,topps,141,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Series 1 Checklist 2 of 5, Most Single Season Wins In Franchise History",NA,NA
Jhoulys Chacin,Colorado Rockies,2011,2010,P,topps,239,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Dexter Fowler,Colorado Rockies,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jhoulys Chacin,Colorado Rockies,2012,2011,P,topps,213,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ubaldo Jimenez,Colorado Rockies,2011,2010,P,topps,270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jorge De La Rosa,Colorado Rockies,2011,2010,P,topps,342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rob Scahill,Colorado Rockies,2013,2012,P,topps,185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Esmil Rogers,Colorado Rockies,2011,2010,P,topps,377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Gonzalez,Colorado Rockies,2014,2013,OF,topps,350,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
