name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Jhonny Peralta,Detroit Tigers,2012,2011,SS,topps,DET13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Inge,Detroit Tigers,2012,2011,3B,topps,DET8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miguel Cabrera,Detroit Tigers,2012,2011,1B,topps,DET5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prince Fielder,Detroit Tigers,2012,2011,1B,topps,DET1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brennan Boesch,Detroit Tigers,2012,2011,OF,topps,DET3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Raburn,Detroit Tigers,2012,2011,OF,topps,DET2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Jackson,Detroit Tigers,2012,2011,OF,topps,DET12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luis Marte,Detroit Tigers,2012,2011,P,topps,615,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Valverde,Detroit Tigers,2012,2011,P,topps,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Max Scherzer,Detroit Tigers,2012,2011,P,topps,159,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Valverde,Detroit Tigers,2012,2011,P,topps,DET16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Max Scherzer,Detroit Tigers,2012,2011,P,topps,DET11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Verlander,Detroit Tigers,2012,2011,P,topps,DET10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Doug Fister,Detroit Tigers,2012,2011,P,topps,DET6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rick Porcello,Detroit Tigers,2012,2011,P,topps,DET15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacob Turner,Detroit Tigers,2012,2011,P,topps,DET14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miguel Cabrera,Detroit Tigers,2014,2013,1B,topps,DET-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Jackson,Detroit Tigers,2014,2013,OF,topps,DET-10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rick Porcello,Detroit Tigers,2014,2013,P,topps,DET-8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Verlander,Detroit Tigers,2014,2013,P,topps,DET-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Max Scherzer,Detroit Tigers,2014,2013,P,topps,DET-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
