name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Florida Marlins,2011,2010,team,topps,361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Cochlan,Florida Marlins,2011,2010,OF,topps,313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Logan Morrison,Florida Marlins,2011,2010,OF,topps,455,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Stanton,Florida Marlins,2011,2010,OF,topps,TT-32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Topps Town
Mike Stanton,Florida Marlins,2011,2010,OF,topps,781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Stanton,Florida Marlins,2011,2010,OF,topps,135,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Scott Cousins,Florida Marlins,2011,2010,OF,topps,287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Emilio Bonfacio,Florida Marlins,2011,2010,OF,topps,303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wes Helms,Florida Marlins,2011,2010,3B,topps,557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gaby Sanchez,Florida Marlins,2011,2010,1B,topps,312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ozzie Martinez,Florida Marlins,2011,2010,SS,topps,326,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gaby Sanchez,Florida Marlins,2011,2010,1B,topps,59,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Hanley Ramirez,Florida Marlins,2011,2010,SS,topps,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hanley Ramirez,Florida Marlins,2010,2009,SS,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"one with code, one without"
Jorge Cantu,Florida Marlins,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ricky Nolasco,Florida Marlins,2011,2010,P,topps,637,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gary Sheffield,Florida Marlins,2014,2013,OF,topps,WSH-GS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,World Series Heroes (1997 WS)
Leo Nunez,Florida Marlins,2011,2010,P,topps,623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anibal Sanchez,Florida Marlins,2011,2010,P,topps,596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javier Vazquez,Florida Marlins,2011,2010,P,topps,458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Johnson,Florida Marlins,2011,2010,P,topps,166,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clay Hensley,Florida Marlins,2011,2010,P,topps,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Ceda,Florida Marlins,2011,2010,P,topps,196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brett Sinkbeil,Florida Marlins,2011,2010,P,topps,117,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Volstad,Florida Marlins,2011,2010,P,topps,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Johnson,Florida Marlins,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fredi Gonzalez,Florida Marlins,2009,2008,manager,topps,88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mark Kotsay,Florida Marlins,1999,1998,OF,bowman,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Klink,Florida Marlins,1994,1993,P,topps,68,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Bret Barberie,Florida Marlins,1994,1993,2B,upper deck,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electric Diamond
Andres Berumen,Florida Marlins,1993,1992,P,topps,627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
