name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Houston Astros,2011,2010,team,topps,631,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Altuve,Houston Astros,2014,2013,2B,topps,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Junction Jack,Houston Astros,2012,2011,mascot,topps,M-25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Bogusevic,Houston Astros,2013,2012,OF,topps,319,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Lee,Houston Astros,2011,2010,OF,topps,586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Bourn,Houston Astros,2011,2010,OF,topps,509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Bogusevic,Houston Astros,2011,2010,OF,topps,88,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hunter Pence,Houston Astros,2011,2010,OF,topps,45,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darin Erstad,Houston Astros,2009,2008,OF,topps,533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Lee,Houston Astros,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clint Barmes,Houston Astros,2011,2010,SS,topps,659,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brett Wallace,Houston Astros,2011,2010,1B,topps,329,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Keppinger,Houston Astros,2011,2010,2B,topps,298,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Johnson,Houston Astros,2011,2010,3B,topps,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brett Wallace,Houston Astros,2012,2011,1B,topps,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lance Berkman,Houston Astros,2009,2008,1B,upper deck,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lance Berkman,Houston Astros,2010,2009,1B,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,one with online code a slight different number
Bud Norris,Houston Astros,2011,2010,P,topps,534,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wesley Wright,Houston Astros,2008,2007,P,upper deck,728,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brett Myers,Houston Astros,2012,2011,P,topps,38,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jake Marisnick,Houston Astros,2014,2013,OF,topps,US-46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aneury Rodriguez,Houston Astros,2011,2010,P,topps,506,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
