name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,notes
Team Card,Kansas City Royals,2011,2010,team,topps,568,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Gordon,Kansas City Royals,2014,2013,OF,topps,180,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Shields,Kansas City Royals,2014,2013,P,topps,102,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eric Hosmer,Kansas City Royals,2014,2013,1B,topps,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lorenzo Cain,Kansas City Royals,2011,2010,OF,topps,533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Lough,Kansas City Royals,2013,2012,OF,topps,268,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Gordon,Kansas City Royals,2011,2010,OF,topps,262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mitch Maier,Kansas City Royals,2011,2010,OF,topps,658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gregor Blanco,Kansas City Royals,2011,2010,OF,topps,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Gathright,Kansas City Royals,2008,2007,OF,upper deck,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David DeJesus,Kansas City Royals,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Melky Cabrera,Kansas City Royals,2012,2011,OF,topps,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David DeJesus,Kansas City Royals,2011,2010,OF,topps,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Melky Cabrera,Kansas City Royals,2011,2010,OF,topps,332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Billy Butler,Kansas City Royals,2012,2011,DH,topps,67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
