name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Justin Bour,Los Angeles Angels,2019,2018,"1B, DH",topps,US209,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Cahill,Los Angeles Angels,2019,2018,P,topps,US234,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cam Bedrosian,Los Angeles Angels,2017,2016,P,topps,653,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jo Adell,Los Angeles Angels,2021,2020,OF,topps,188,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,Puzzle C,NA,NA
Eric Young Jr.,Los Angeles Angels,2017,2016,OF,topps,US265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kole Calhoun,Los Angeles Angels,2020,2019,OF,topps,171,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tommy La Stella,Los Angeles Angels,2020,2019,"2B, 3B",topps,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Lucroy,Los Angeles Angels,2019,2018,C,topps,US250,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrelton Simmons,Los Angeles Angels,2019,2018,SS,topps,255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrew Heaney,Los Angeles Angels,2019,2018,P,topps,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Zack Cozart,Los Angeles Angels,2018,2017,SS,topps,149,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Cardboard Card,NA,NA
Cody Allen,Los Angeles Angels,2019,2018,P,topps,215,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
Tommy La Stella,Los Angeles Angels,2019,2018,"2B, 3B",topps,US29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Johnny Giavotella,Los Angeles Angels,2017,2016,2B,topps,215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kole Calhoun,Los Angeles Angels,2017,2016,OF,topps,294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrew Heaney,Los Angeles Angels,2017,2016,P,topps,444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Andrew Bailey,Los Angeles Angels,2017,2016,P,topps,US107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Team Card,Los Angeles Angels,2022,2021,team,topps,159,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jared Walsh,Los Angeles Angels,2022,2021,1B,topps,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Raisel Iglesias,Los Angeles Angels,2022,2021,P,topps,173,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Reid Detmers,Los Angeles Angels,2022,2021,P,topps,201,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Marsh,Los Angeles Angels,2022,2021,OF,topps,243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Los Angeles Angels,2022,2021,C,topps,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2022,2021,"P, DH",topps,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Mike Trout,Los Angeles Angels,2022,2021,OF,topps,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kurt Suzuki,Los Angeles Angels,2021,2020,C,topps,571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Raisel Iglesias,Los Angeles Angels,2021,2020,P,topps,552,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Jaime Barria,Los Angeles Angels,2020,2019,P,topps,428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trent Deveaux,Los Angeles Angels,2021,2020,OF,bowman,BD-133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Janson Junk,Los Angeles Angels,2022,2021,P,topps,594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2022,2021,"P, DH",topps,660,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Elvis Peguero,Los Angeles Angels,2022,2021,P,topps,541,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2022,2021,"P, DH",topps,GP-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,International Trading Card Day,NA,NA
Anthony Rendon,Los Angeles Angels,2021,2020,3B,topps,168,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Quintana,Los Angeles Angels,2021,2020,P,topps,485,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jared Walsh,Los Angeles Angels,2021,2020,1B,topps,258,0,0,0,0,1,1,0,0,1,0,0,cyan,1,0,0,0,0,0,0,0,1,NA,jare_2021_top_258_f.png,jare_2021_top_258_r.png
Packy Naughton,Los Angeles Angels,2022,2021,P,topps,540,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Justin Upton,Los Angeles Angels,2022,2021,OF,topps,444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Oliver Ortega,Los Angeles Angels,2022,2021,P,topps,554,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jhonathan Diaz,Los Angeles Angels,2022,2021,P,topps,332,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Austin Warren,Los Angeles Angels,2022,2021,P,topps,495,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Max Stassi,Los Angeles Angels,2022,2021,C,topps,609,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Patrick Sandoval,Los Angeles Angels,2022,2021,P,topps,428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Anthony Rendon,Los Angeles Angels,2022,2021,3B,topps,620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
David Fletcher,Los Angeles Angels,2022,2021,2B,topps,447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2022,2021,DH,topps,SS-2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Significant Statistics,NA,NA
Jack Mayfield,Los Angeles Angels,2022,2021,3B,topps,614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Elvis Peguero,Los Angeles Angels,2022,2021,P,topps,541,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Cooper Criswell,Los Angeles Angels,2022,2021,P,topps,521,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jo Adell,Los Angeles Angels,2022,2021,OF,topps,388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Noah Syndergaard,Los Angeles Angels,2022,2021,P,topps,584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jimmy Herget,Los Angeles Angels,2023,2022,P,topps,254,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Max Stassi,Los Angeles Angels,2023,2022,C,topps,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2023,2022,"P, DH",topps,SMLB-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Stars of MLB,NA,NA
Shohei Ohtani,Los Angeles Angels,2023,2022,"P, DH",topps,SMLBC-21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Stars of MLB,shoh_2023_top_smlbc21_f.png,shoh_2023_top_smlbc21_r.png
Patrick Sandoval,Los Angeles Angels,2023,2022,P,topps,327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Taylor Ward,Los Angeles Angels,2023,2022,OF,topps,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shohei Ohtani,Los Angeles Angels,2023,2022,DH,topps,600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jared Walsh,Los Angeles Angels,2023,2022,1B,topps,439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Logan O'Hoppe,Los Angeles Angels,2023,2022,C,topps,363,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Luis Rengifo,Los Angeles Angels,2023,2022,2B,topps,549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Suarez,Los Angeles Angels,2023,2022,P,topps,609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Livan Soto,Los Angeles Angels,2023,2022,SS,topps,371,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
