name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Los Angeles Angels of Anaheim,2011,2010,team,topps,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peter Bourjos,Los Angeles Angels of Anaheim,2012,2011,OF,topps,166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Torii Hunter,Los Angeles Angels of Anaheim,2012,2011,OF,topps,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Torii Hunter,Los Angeles Angels of Anaheim,2011,2010,OF,topps,255,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Trumbo,Los Angeles Angels of Anaheim,2012,2011,1B,topps,158,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Jeremy Moore,Los Angeles Angels of Anaheim,2012,2011,OF,topps,277,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peter Bourjos,Los Angeles Angels of Anaheim,2011,2010,OF,topps,185,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vernon Wells,Los Angeles Angels of Anaheim,2011,2010,OF,topps,525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Abreu,Los Angeles Angels of Anaheim,2011,2010,OF,topps,528,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reggie Willits,Los Angeles Angels of Anaheim,2011,2010,OF,topps,559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Trumbo,Los Angeles Angels of Anaheim,2012,2011,1B,topps,106,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Hank Conger,Los Angeles Angels of Anaheim,2011,2010,C,topps,285,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Trumbo,Los Angeles Angels of Anaheim,2011,2010,1B,topps,57,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alberto Callaspo,Los Angeles Angels of Anaheim,2011,2010,3B,topps,454,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kendrys Morales,Los Angeles Angels of Anaheim,2013,2012,DH,topps,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Mathis,Los Angeles Angels of Anaheim,2011,2010,C,topps,474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Napoli,Los Angeles Angels of Anaheim,2011,2010,C,topps,201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2011,2010,2B,topps,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2009,2008,2B,topps,379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2010,2009,2B,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,One is Hot Streak with different numbers
Kendrys Morales,Los Angeles Angels of Anaheim,2011,2010,1B,topps,651,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kendrys Morales,Los Angeles Angels of Anaheim,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
C.J. Wilson,Los Angeles Angels of Anaheim,2013,2012,P,topps,CHR-CJW,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chasing History (Record Streak), with game-used memorabilia"
Chone Figgins,Los Angeles Angels of Anaheim,2009,2008,3B,topps,332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maicer Izturis,Los Angeles Angels of Anaheim,2011,2010,3B,topps,529,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Erick Aybar,Los Angeles Angels of Anaheim,2011,2010,SS,topps,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2013,2012,2B,topps,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2014,2013,2B,topps,146,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Trout,Los Angeles Angels of Anaheim,2014,2013,OF,topps,UP-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fired Up
Albert Pujols,Los Angeles Angels of Anaheim,2014,2013,1B,topps,66,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Freese,Los Angeles Angels of Anaheim,2014,2013,3B,topps,197,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jered Weaver,Los Angeles Angels of Anaheim,2014,2013,P,topps,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Skaggs,Los Angeles Angels of Anaheim,2014,2013,P,topps,64,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jered Weaver,Los Angeles Angels of Anaheim,2012,2011,P,topps,209,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Haren,Los Angeles Angels of Anaheim,2012,2011,P,topps,64,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Haren,Los Angeles Angels of Anaheim,2011,2010,P,topps,626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jered Weaver,Los Angeles Angels of Anaheim,2012,2011,P,topps,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jered Weaver,Los Angeles Angels of Anaheim,2011,2010,P,topps,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ervin Santana,Los Angeles Angels of Anaheim,2012,2013,P,topps,62,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ervin Santana,Los Angeles Angels of Anaheim,2011,2010,P,topps,439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joel Pineiro,Los Angeles Angels of Anaheim,2011,2010,P,topps,263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Haren,Los Angeles Angels of Anaheim,2012,2011,P,topps,601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Kazmir,Los Angeles Angels of Anaheim,2011,2010,P,topps,632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Walden,Los Angeles Angels of Anaheim,2011,2010,P,topps,337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howie Kendrick,Los Angeles Angels of Anaheim,2014,2013,2B,topps,185,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C.J. Wilson,Los Angeles Angels of Anaheim,2014,2013,P,topps,257,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albert Pujols,Los Angeles Angels of Anaheim,2014,2013,1B,topps,625,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grant Green,Los Angeles Angels of Anaheim,2014,2013,3B,topps,644,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grant Green,Los Angeles Angels of Anaheim,2014,2013,3B,topps,644,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,
