name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,notes
Team Card,Los Angeles Dodgers,2011,2010,team,topps,646,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carl Crawford,Los Angeles Dodgers,2014,2013,OF,topps,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton Kershaw,Los Angeles Dodgers,2014,2013,P,topps,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hanley Ramirez,Los Angeles Dodgers,2014,2013,SS,topps,208,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton Kershaw,Los Angeles Dodgers,2013,2012,P,topps,TM-23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mini Card
Andre Ethier,Los Angeles Dodgers,2012,2011,OF,topps,TM-30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mini Card
Andruw Jones,Los Angeles Dodgers,2008,2007,OF,upper deck,540,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Andre Ethier,Los Angeles Dodgers,2011,2010,OF,topps,240,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2009,2008,OF,upper deck,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,First Edition (Gold Border)
Tony Gwynn,Los Angeles Dodgers,2012,2011,OF,topps,284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2011,2010,OF,topps,375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marcus Thames,Los Angeles Dodgers,2011,2010,OF,topps,551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2012,2011,OF,topps,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andre Ethier,Los Angeles Dodgers,2013,2012,OF,topps,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2013,2012,OF,topps,242,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dee Gordon,Los Angeles Dodgers,2012,2011,SS,topps,112,0,0,1,0,1,1,0,0,0,0,0,light blue,0,1,0,0,0,0,1641/2012,15-Apr-12
James Loney,Los Angeles Dodgers,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Ivan DeJesus,Los Angeles Dodgers,2011,2010,SS,topps,602,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rafael Furcal,Los Angeles Dodgers,2011,2010,SS,topps,441,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rafael Furcal,Los Angeles Dodgers,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Casey Blake,Los Angeles Dodgers,2011,2010,3B,topps,158,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Loney,Los Angeles Dodgers,2011,2010,1B,topps,305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Loney,Los Angeles Dodgers,2012,2011,1B,topps,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rod Barajas,Los Angeles Dodgers,2011,2010,C,topps,575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russell Martin,Los Angeles Dodgers,2011,2010,C,topps,114,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russell Martin,Los Angeles Dodgers,2008,2007,C,upper deck,SQ-57,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Starquest
Ted Lilly,Los Angeles Dodgers,2011,2010,P,topps,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenley Jansen,Los Angeles Dodgers,2011,2010,P,topps,388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton Kershaw,Los Angeles Dodgers,2011,2010,P,topps,275,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javy Guerra,Los Angeles Dodgers,2012,2011,P,topps,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Randy Choate,Los Angeles Dodgers,2013,2012,P,topps,182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenley Jansen,Los Angeles Dodgers,2013,2012,P,topps,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton Kershaw,Los Angeles Dodgers,2012,2011,P,topps,181,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Billingsley,Los Angeles Dodgers,2011,2010,P,topps,473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Broxton,Los Angeles Dodgers,2011,2010,P,topps,407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hiroki Kuroda,Los Angeles Dodgers,2011,2010,P,topps,367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vincente Padilla,Los Angeles Dodgers,2011,2010,P,topps,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hong-Chih Kuo,Los Angeles Dodgers,2011,2010,P,topps,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ted Lilly,Los Angeles Dodgers,2012,2011,P,topps,122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Broxton,Los Angeles Dodgers,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Schmidt,Los Angeles Dodgers,2008,2007,P,upper deck,541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brad Penny,Los Angeles Dodgers,2008,2007,P,upper deck,545,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hiroki Kuroda,Los Angeles Dodgers,2008,2007,P,upper deck,714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adrian Gonzalez,Los Angeles Dodgers,2014,2013,1B,topps,204,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Kemp,Los Angeles Dodgers,2014,2013,OF,topps,460,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Billingsley,Los Angeles Dodgers,2014,2013,P,topps,623,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Billingsley,Los Angeles Dodgers,2014,2013,P,topps,623,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,
