name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Anibal Sanchez,Miami Marlins,2012,2011,P,topps,157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Josh Johnson,Miami Marlins,2013,2012,P,topps,255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Garrett Jones,Miami Marlins,2014,2013,1B,topps,US-256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ricky Nolasco,Miami Marlins,2012,2011,P,topps,322,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
A.J. Ramos,Miami Marlins,2013,2012,P,topps,175,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jacob Turner,Miami Marlins,2013,2012,P,topps,CD-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Chasing the Dream,NA,NA
Gaby Sanchez,Miami Marlins,2012,2011,1B,topps,513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Dominguez,Miami Marlins,2012,2011,3B,topps,GF-44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Gold Futures,NA,NA
Hanley Ramirez,Miami Marlins,2012,2011,3B,topps,FS-12,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fantasy Squad,NA,NA
Jose Reyes,Miami Marlins,2012,2011,SS,topps,201,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Giancarlo Stanton,Miami Marlins,2014,2013,OF,topps,187,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Fernandez,Miami Marlins,2014,2013,P,topps,72,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Christian Yelich,Miami Marlins,2014,2013,OF,topps,54,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Justin Ruggiano,Miami Marlins,2014,2013,OF,topps,271,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jake Marisnick,Miami Marlins,2014,2013,OF,topps,45,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Fernandez,Miami Marlins,2014,2013,P,topps,660,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
A.J. Ramos,Miami Marlins,2014,2013,P,topps,353,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rafael Furcal,Miami Marlins,2014,2013,SS,topps,506,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jose Fernandez,Miami Marlins,2014,2013,P,topps,413,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2013 NL Rookie of the Year,NA,NA
Casey McGehee,Miami Marlins,2014,2013,3B,topps,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jacob Turner,Miami Marlins,2014,2013,P,topps,392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Steve Ames,Miami Marlins,2014,2013,P,topps,577,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Donovan Solano,Miami Marlins,2014,2013,2B,topps,567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brian Bogusevic,Miami Marlins,2014,2013,OF,topps,524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ed Lucas,Miami Marlins,2014,2013,3B,topps,387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
