name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,notes,image_front,image_rear
Team Card,Milwaukee Brewers,2011,2010,team,topps,187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jean Segura,Milwaukee Brewers,2014,2013,SS,topps,181,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Bernie Brewer,Milwaukee Brewers,2014,2013,mascot,topps,M-4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun & Prince Fielder,Milwaukee Brewers,2010,2009,split,topps,237,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Brew Crew Knockout, Series 1 Checklist (3 of 5)",NA,NA
Franchise History,Milwaukee Brewers,2010,2011,split,topps,72,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Historial Franchise Stats,NA,NA
Bernie Brewer,Milwaukee Brewers,2012,2011,mascot,topps,M-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Corey Hart,Milwaukee Brewers,2012,2011,OF,topps,147,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Corey Hart,Milwaukee Brewers,2009,2008,OF,upper deck,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Corey Hart,Milwaukee Brewers,2011,2010,OF,topps,519,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,First Edition (Gold Border),NA,NA
Tony Gwynn,Milwaukee Brewers,2008,2007,OF,upper deck,554,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nyjer Morgan,Milwaukee Brewers,2011,2010,OF,topps,573,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2013,2012,OF,topps,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2010,2009,OF,topps,none,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2008,2007,3B,upper deck,748,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Season Highlights,NA,NA
Ryan Braun,Milwaukee Brewers,2010,2009,OF,upper deck,291,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Carlos Gomez,Milwaukee Brewers,2011,2010,OF,topps,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2012,2011,OF,topps,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2011,2010,OF,topps,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Lucroy,Milwaukee Brewers,2011,2010,C,topps,105,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Prince Fielder,Milwaukee Brewers,2011,2010,1B,topps,410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rickie Weeks,Milwaukee Brewers,2011,2010,2B,topps,266,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Paul Molitor,Milwaukee Brewers,2011,2010,"2B, SS",topps,60YOT-29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,60 Years of Topps (Diamond Anniversary),NA,NA
Mat Gamel,Milwaukee Brewers,2010,2009,3B,topps,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Casey McGehee,Milwaukee Brewers,2011,2010,3B,topps,608,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Alcides Escobar,Milwaukee Brewers,2011,2010,SS,topps,251,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Kintzler,Milwaukee Brewers,2011,2010,P,topps,574,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
John Axford,Milwaukee Brewers,2011,2010,P,topps,591,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Randy Wolf,Milwaukee Brewers,2011,2010,P,topps,14,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shaun Marcum,Milwaukee Brewers,2012,2011,P,topps,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Hoffman,Milwaukee Brewers,2011,2010,P,topps,71,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Series 1 Checklist 1 of 5,NA,NA
John Axford,Milwaukee Brewers,2012,2011,P,topps,88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Chris Narveson,Milwaukee Brewers,2011,2010,P,topps,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jeremy Jeffress,Milwaukee Brewers,2011,2010,P,topps,143,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Trevor Hoffman,Milwaukee Brewers,2011,2010,P,topps,277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yovani Gallardo,Milwaukee Brewers,2011,2010,P,topps,465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shaun Marcum,Milwaukee Brewers,2011,2010,P,topps,615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Kyle Lohse,Milwaukee Brewers,2014,2013,P,topps,51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rickie Weeks,Milwaukee Brewers,2014,2013,2B,topps,172,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jean Segura,Milwaukee Brewers,2014,2013,SS,topps,215,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rob Wooten,Milwaukee Brewers,2014,2013,P,topps,494,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Yovani Gallardo,Milwaukee Brewers,2014,2013,P,topps,388,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Matt Garza,Milwaukee Brewers,2014,2013,P,topps,351,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Marco Estrada,Milwaukee Brewers,2014,2013,P,topps,598,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Brandon Kintzler,Milwaukee Brewers,2014,2013,P,topps,642,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Sean Halton,Milwaukee Brewers,2014,2013,1B,topps,394,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Tyler Thornburg,Milwaukee Brewers,2014,2013,P,topps,578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Caleb Ginol,Milwaukee Brewers,2014,2013,OF,topps,472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Aramis Ramirez,Milwaukee Brewers,2014,2013,3B,topps,560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Ryan Braun,Milwaukee Brewers,2014,2013,OF,topps,435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Juan Francisco,Milwaukee Brewers,2014,2013,1B,topps,535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Jonathan Lucroy,Milwaukee Brewers,2014,2013,C,topps,285,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
