name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,notes
Team Card,Minnesota Twins,2011,2010,team,topps,614,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jim Thome,Minnesota Twins,2011,2010,DH,topps,304,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Series 1 Checklist 4 of 5 (No. 8 All-Time in HRs)
Ben Revere,Minnesota Twins,2012,2011,OF,topps,211,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Alexi Casilla,Minnesota Twins,2011,2010,SS,topps,339,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Danny Valencia,Minnesota Twins,2011,2010,3B,topps,390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Danny Valencia,Minnesota Twins,2011,2010,3B,topps,387,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Danny Valencia,Minnesota Twins,2012,2011,3B,topps,126,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Morneau,Minnesota Twins,2011,2010,1B,topps,293,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Mauer,Minnesota Twins,2011,2010,C,topps,550,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Baker,Minnesota Twins,2011,2010,P,topps,354,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carl Pavano,Minnesota Twins,2012,2011,P,topps,164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nick Blackburn,Minnesota Twins,2012,2011,P,topps,316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Slowey,Minnesota Twins,2011,2010,P,topps,281,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Fuentes,Minnesota Twins,2011,2010,P,topps,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Nathan,Minnesota Twins,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Duensing,Minnesota Twins,2014,2013,P,topps,488,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Duensing,Minnesota Twins,2014,2013,P,topps,488,1,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,1239/2014,
Phil Hughes,Minnesota Twins,2014,2013,P,topps,541,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phil Hughes,Minnesota Twins,2014,2013,P,topps,541,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,
Josh Willingham,Minnesota Twins,2014,2013,OF,topps,385,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Willingham,Minnesota Twins,2014,2013,OF,topps,385,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,
Mike Pelfrey,Minnesota Twins,2014,2013,P,topps,441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Parmelee,Minnesota Twins,2014,2013,1B,topps,518,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Samuel Deduno,Minnesota Twins,2014,2013,P,topps,463,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josmil Pinto,Minnesota Twins,2014,2013,C,topps,162,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Dozier,Minnesota Twins,2014,2013,2B,topps,221,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trevor Plouffe,Minnesota Twins,2014,2013,3B,topps,325,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
