name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,New York Yankees,2011,2010,team,topps,424,1,0,0,0,1,0,
Hiroki Kuroda,New York Yankees,2014,2013,P,topps,81,0,0,1,0,1,0,
Brian McCann,New York Yankees,2014,2013,C,topps,140,0,0,1,0,2,1,"One is Blue Parallel (Says March 30, 2014)"
Mariano Rivera,New York Yankees,2014,2013,P,topps,42,1,0,1,0,3,0,"Two are Opening Day, One is Regular"
Don Mattingly,New York Yankees,2008,2007,1B,upper deck,YSL-5174,0,0,0,0,1,1,Yankee Stadium Legacy (Game 5174: 09/21/1989)
Dave Winfield,New York Yankees,2008,2007,OF,upper deck,YSL-5074,0,0,0,0,1,1,Yankee Stadium Legacy (Game 5074: 08/16/1988)
Mickey Mantle,New York Yankees,2012,2011,OF,topps,ACA-24,0,0,0,0,1,1,A Cut Above
Don Mattingly,New York Yankees,2013,2012,1B,topps,CH-13,1,0,0,0,1,1,Chasing History
Carlos Beltran,New York Yankees,2014,2013,OF,topps,145,0,0,1,0,1,0,
Jacoby Ellsbury,New York Yankees,2014,2013,OF,topps,7,0,0,1,0,1,0,
Babe Ruth,New York Yankees,2013,2012,OF,topps,CH-11,1,0,0,0,1,1,Chasing History
Mickey Mantle,New York Yankees,2012,2011,OF,topps,TM-96,0,0,0,0,1,1,Topps Mini
Mickey Mantle,New York Yankees,2012,1968,OF,topps,7,0,0,1,0,1,0,
Babe Ruth,New York Yankees,2011,2010,OF,topps,BR60,1,0,0,0,1,1,Babe Ruth Card
Mickey Mantle,New York Yankees,2011,1968,OF,topps,7,1,0,0,0,1,0,
Derek Jeter,New York Yankees,2011,2010,SS,topps,330,0,0,0,0,1,0,
Robinson Cano,New York Yankees,2011,2010,2B,topps,130,0,0,0,0,1,0,
Mark Teixeira,New York Yankees,2012,2011,1B,topps,234,0,0,0,0,1,1,Series One Checklist (Most Dual Switch-Hit HR Games)
Mark Teixeira,New York Yankees,2010,2009,1B,topps,none,0,0,0,0,1,1,Topps Attax (Superstar)
Derek Jeter,New York Yankees,2008,2007,SS,upper deck,SQ-42,0,0,0,0,1,1,Starquest
Alex Rodriguez,New York Yankees,2008,2007,3B,upper deck,730,1,0,0,0,1,1,Season Highlights
Robinson Cano,New York Yankees,2012,2011,2B,topps,99,0,0,1,0,1,0,
Alex Rodriguez,New York Yankees,2013,2012,3B,topps,303,0,0,0,0,1,1,"Series One Checklist (Record Chase: 3,000 Hits)"
Alex Rodriguez,New York Yankees,2012,2011,3B,topps,53,0,0,1,0,1,0,
Eric Chavez,New York Yankees,2013,2012,3B,topps,212,0,0,0,0,1,0,
Mark Teixeira,New York Yankees,2011,2010,1B,topps,450,0,0,0,0,1,0,
Ramiro Peña,New York Yankees,2010,2009,SS,topps,344,0,0,0,0,1,0,
Jesus Montero,New York Yankees,2012,2011,C,topps,9,0,1,0,0,1,0,
Alex Rodriguez,New York Yankees,2011,2010,3B,topps,50,0,0,0,0,1,1,Factory Set Limited Edition
Phil Hughes,New York Yankees,2011,2010,P,topps,475,0,0,0,0,1,0,
CC Sabathia,New York Yankees,2010,2009,P,topps,none,0,0,0,0,3,1,Topps Attax (One is Superstar)
CC Sabathia,New York Yankees,2012,2011,P,topps,145,0,0,1,0,1,0,
CC Sabathia,New York Yankees,2013,2012,P,topps,52,0,0,0,0,1,0,
CC Sabathia,New York Yankees,2011,2010,P,topps,102,0,0,0,0,2,0,
Mariano Rivera,New York Yankees,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Mariano Rivera,New York Yankees,2011,2010,P,topps,42,0,0,0,0,1,0,
Mariano Rivera,New York Yankees,2012,2011,P,topps,189,0,1,0,0,1,0,
Ivan Nova,New York Yankees,2011,2010,P,topps,629,0,0,0,0,1,0,
Phil Hughes,New York Yankees,2012,2011,P,topps,313,0,0,0,0,1,0,
Jorge Posada,New York Yankees,2011,2010,C,topps,520,0,0,0,0,1,0,
Ivan Nova,New York Yankees,2012,2011,P,topps,133,0,0,0,0,1,0,
Joba Chamberlain,New York Yankees,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Ivan Nova,New York Yankees,2012,2011,P,topps,191,0,0,1,0,1,0,
Matt Thornton,New York Yankees,2014,2013,P,topps,US-312,0,0,1,0,1,0,
Zoilo Almonte,New York Yankees,2014,2013,OF,topps,260,0,0,0,0,1,0,
Boone Logan,New York Yankees,2014,2013,P,topps,137,0,0,0,0,1,0,
Mark Teixeira,New York Yankees,2014,2013,1B,topps,613,0,0,0,0,1,0,
J.R. Murphy,New York Yankees,2014,2013,C,topps,231,1,1,0,0,1,0,
Alfonso Soriano,New York Yankees,2014,2013,OF,topps,276,0,0,0,0,1,0,
Hiroki Kuroda,New York Yankees,2014,2013,P,topps,116,0,0,0,0,1,0,
Masahiro Tanaka,New York Yankees,2014,2013,P,topps,MB-43,1,1,0,0,1,1,"Topps Chrome (Rookie Debut: April 4, 2014)"
Masahiro Tanaka,New York Yankees,2014,2013,P,topps,661,0,1,0,0,1,0,One is Short Print
Jacoby Ellsbury,New York Yankees,2014,2013,OF,topps,SST-17,0,0,0,0,1,1,saberstars (5.8 WAR)
David Robertson,New York Yankees,2014,2013,P,topps,576,0,0,0,0,2,0,
Brian Roberts,New York Yankees,2014,2013,2B,topps,396,0,0,0,0,2,0,
Eduardo Nunez,New York Yankees,2014,2013,SS,topps,246,1,0,0,0,2,0,
Mariano Rivera,New York Yankees,2014,2013,P,topps,321,1,0,0,0,2,1,Series One Checklist (Yankees Legend Retires)
Brett Gardner,New York Yankees,2014,2013,OF,topps,254,0,0,0,0,1,0,
Alex Rodriguez,New York Yankees,2014,2013,3B,topps,168,0,0,0,0,2,0,
Vernon Wells,New York Yankees,2014,2013,OF,topps,222,0,0,0,0,2,0,
