name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Oakland Athletics,2011,2010,team,topps,204,1,0,0,0,1,0,
Eric Sogard,Oakland Athletics,2014,2013,2B,topps,135,0,0,0,0,1,0,
Chris Young,Oakland Athletics,2014,2013,OF,topps,311,0,0,0,0,1,0,
Michael Choice,Oakland Athletics,2014,2013,OF,topps,27,0,1,0,0,2,0,
Coco Crisp,Oakland Athletics,2014,2013,OF,topps,8,0,0,0,0,1,0,
Josh Donaldson,Oakland Athletics,2014,2013,3B,topps,134,0,0,0,0,1,0,
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,FN-13,0,0,0,0,1,1,The Future Is Now (Home Sweet Home)
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,14,0,0,0,0,1,0,
Ryan Cook,Oakland Athletics,2014,2013,P,topps,243,0,0,0,0,2,0,
Dan Straily,Oakland Athletics,2014,2013,P,topps,58,0,0,0,0,1,0,
Sean Doolittle,Oakland Athletics,2014,2013,P,topps,226,0,0,0,0,1,0,
Alberto Callaspo,Oakland Athletics,2014,2013,2B,topps,238,0,0,0,0,1,0,
Seth Smith,Oakland Athletics,2014,2013,OF,topps,205,0,0,0,0,2,0,
Kurt Suzuki,Oakland Athletics,2014,2013,C,topps,104,1,0,0,0,1,0,
Jim Johnson,Oakland Athletics,2014,2013,P,topps,487,0,0,0,0,2,0,
Derek Norris,Oakland Athletics,2014,2013,C,topps,346,0,0,0,0,2,0,
Craig Gentry,Oakland Athletics,2014,2013,OF,topps,477,0,0,0,0,1,0,
Nate Freiman,Oakland Athletics,2014,2013,DH,topps,343,0,0,0,0,2,0,
Tommy Milone,Oakland Athletics,2014,2013,P,topps,572,0,0,0,0,1,0,
A.J. Griffin,Oakland Athletics,2014,2013,P,topps,410,0,0,0,0,1,0,
Jed Lowrie,Oakland Athletics,2014,2013,SS,topps,607,0,0,0,0,1,0,
Josh Reddick,Oakland Athletics,2014,2013,OF,topps,416,0,0,0,0,2,0,
Jarrod Parker,Oakland Athletics,2014,2013,P,topps,355,0,0,0,0,1,0,
Brandon Moss,Oakland Athletics,2014,2013,1B,topps,471,0,0,0,0,1,0,
Scott Kazmir,Oakland Athletics,2014,2013,P,topps,371,0,0,0,0,1,0,
Sonny Gray,Oakland Athletics,2014,2013,P,topps,508,0,0,0,0,1,1,Future Stars
John Jaso,Oakland Athletics,2014,2013,C,topps,407,0,0,0,0,2,0,
Justin Duchscherer,Oakland Athletics,2008,2007,P,upper deck,600,0,0,0,0,1,0,
Brett Anderson,Oakland Athletics,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Gio Gonzalez,Oakland Athletics,2011,2010,P,topps,30,0,0,0,0,2,0,
Brett Anderson,Oakland Athletics,2011,2010,P,topps,140,0,0,0,0,1,0,
Trevor Cahil,Oakland Athletics,2009,2008,P,topps,403,0,1,0,0,1,0,
Justin Duchscherer,Oakland Athletics,2010,2009,P,topps,153,0,0,0,0,1,0,
Andrew Bailey,Oakland Athletics,2011,2010,P,topps,280,0,0,0,0,1,0,
Trevor Cahil,Oakland Athletics,2011,2010,P,topps,436,0,0,0,0,1,0,
Rich Harden,Oakland Athletics,2011,2010,P,topps,535,0,0,0,0,1,0,
Dallas Braden,Oakland Athletics,2011,2010,P,topps,567,0,0,0,0,1,0,
Landon Powell,Oakland Athletics,2011,2010,C,topps,348,0,0,0,0,1,0,
Drew Pomeranz,Oakland Athletics,2014,2013,P,topps,US-322,1,0,0,0,1,0,
Sean Doolittle,Oakland Athletics,2014,2013,P,topps,305,0,0,0,1,1,0,
Daric Barton,Oakland Athletics,2014,2013,1B,topps,US-76,0,0,0,0,1,0,
Jesse Chavez,Oakland Athletics,2014,2013,P,topps,US-243,0,0,0,0,1,1,Border is gold
Kurt Suzuki,Oakland Athletics,2011,2010,C,topps,79,1,0,0,0,1,0,
Kurt Suzuki,Oakland Athletics,2008,2007,C,upper deck,601,0,0,0,0,1,0,
Kurt Suzuki,Oakland Athletics,2010,2009,C,topps,none,0,0,0,0,1,1,Topps Attax
Stephen Drew,Oakland Athletics,2013,2012,SS,topps,160,0,0,0,0,1,0,
Mark Ellis,Oakland Athletics,2011,2010,2B,topps,17,0,0,0,0,2,0,
Mark Ellis,Oakland Athletics,2009,2008,2B,upper deck,219,0,0,0,0,1,1,First Edition (Gold Border)
Kevin Kouzmanoff,Oakland Athletics,2011,2010,3B,topps,131,0,0,0,0,1,0,
Cliff Pennington,Oakland Athletics,2011,2010,SS,topps,353,0,0,0,0,1,0,
Daric Barton,Oakland Athletics,2011,2010,1B,topps,462,0,0,0,0,1,0,
Eric Sogard,Oakland Athletics,2011,2010,2B,topps,461,0,1,0,0,1,0,
Ryan Sweeney,Oakland Athletics,2011,2010,OF,topps,493,0,0,0,0,1,0,
Coco Crisp,Oakland Athletics,2011,2010,OF,topps,190,0,0,0,0,2,0,
Team Checklists,Oakland Athletics,2010,2009,team,upper deck,590,1,0,0,0,1,0,
Team Card,Oakland Athletics,2012,2011,team,topps,M-24,0,0,1,0,1,0,Pictures mascot
Josh Donaldson,Oakland Athletics,2014,2013,3B,topps,11,0,0,1,0,1,0,
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,88,0,0,1,0,2,1,"Special is blue and shiny. Dated March 30, 2014 and 0209/2014 on back."
Coco Crisp,Oakland Athletics,2014,2013,OF,topps,92,0,0,1,0,1,0,
