name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Pittsburgh Pirates,2011,2010,team,topps,398,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerrit Cole,Pittsburgh Pirates,2014,2013,P,topps,13,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Pedro Alvarez,Pittsburgh Pirates,2014,2013,3B,topps,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Francisco Liriano,Pittsburgh Pirates,2014,2013,P,topps,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew McCutchen,Pittsburgh Pirates,2011,2010,OF,topps,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Tabata,Pittsburgh Pirates,2011,2010,OF,topps,545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew McCutchen,Pittsburgh Pirates,2012,2011,OF,topps,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Tabata,Pittsburgh Pirates,2012,2011,OF,topps,168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pedro Alvarez,Pittsburgh Pirates,2011,2010,3B,topps,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clint Barmes,Pittsburgh Pirates,2013,2012,SS,topps,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Garrett Jones,Pittsburgh Pirates,2011,2010,1B,topps,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gaby Sanchez,Pittsburgh Pirates,2013,2012,1B,topps,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neil Walker,Pittsburgh Pirates,2011,2010,2B,topps,24,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Neil Walker,Pittsburgh Pirates,2011,2010,2B,topps,245,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Casey McGehee,Pittsburgh Pirates,2012,2011,1B,topps,193,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Rodriguez,Pittsburgh Pirates,2011,2010,SS,topps,563,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pedro Ciriaco,Pittsburgh Pirates,2011,2010,SS,topps,238,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ronny Cedeno,Pittsburgh Pirates,2011,2010,SS,topps,162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael McKenry,Pittsburgh Pirates,2012,2011,C,topps,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Jaramillo,Pittsburgh Pirates,2011,2010,C,topps,297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Snyder,Pittsburgh Pirates,2011,2010,C,topps,487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Doumit,Pittsburgh Pirates,2011,2010,C,topps,456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charlie Morton,Pittsburgh Pirates,2012,2011,P,topps,516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Correia,Pittsburgh Pirates,2013,2012,P,topps,262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
