name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,notes
Team Card,San Francisco Giants,2011,2010,team,topps,552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sergio Romo,San Francisco Giants,2014,2013,P,topps,UP-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fired Up
Matt Cain,San Francisco Giants,2014,2013,P,topps,91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Belt,San Francisco Giants,2014,2013,1B,topps,37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Willie Mays,San Francisco Giants,2012,2011,OF,topps,GG-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Golden Greats (Mays  Makes ""The Catch"")"
Mark DeRosa,San Francisco Giants,2011,2010,OF,topps,434,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jose Guillen,San Francisco Giants,2011,2010,OF,topps,226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darren Ford,San Francisco Giants,2011,2010,OF,topps,292,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aaron Rowand,San Francisco Giants,2011,2010,OF,topps,363,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pat Burrell,San Francisco Giants,2011,2010,OF,topps,546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cody Ross,San Francisco Giants,2011,2010,OF,topps,648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andres Torres,San Francisco Giants,2011,2010,OF,topps,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pablo Sandoval,San Francisco Giants,2011,2010,3B,topps,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Belt,San Francisco Giants,2011,2010,1B,topps,605,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Edgar Renteria,San Francisco Giants,2011,2010,SS,topps,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark DeRosa,San Francisco Giants,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Fontenot,San Francisco Giants,2011,2010,2B,topps,577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Freddy Sanchez,San Francisco Giants,2011,2010,2B,topps,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Belt,San Francisco Giants,2012,2011,1B,topps,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aubrey Huff,San Francisco Giants,2012,2011,1B,topps,591,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Travis Ishikawa,San Francisco Giants,2011,2010,1B,topps,599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aubrey Huff,San Francisco Giants,2011,2010,1B,topps,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Buster Posey,San Francisco Giants,2011,2010,C,topps,282,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010 NL Rookie of the Year
Buster Posey,San Francisco Giants,2011,2010,C,topps,198,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Factory Set Limited Edition
Buster Posey,San Francisco Giants,2011,2010,C,topps,198,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Buster Posey,San Francisco Giants,2011,2010,C,topps,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Buster Posey,San Francisco Giants,2012,2011,C,topps,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barry Zito,San Francisco Giants,2011,2010,P,topps,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremy Affeldt,San Francisco Giants,2011,2010,P,topps,571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Cain,San Francisco Giants,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Lincecum,San Francisco Giants,2010,2009,P,upper deck,440,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Vogelsong,San Francisco Giants,2013,2012,P,topps,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madison Bumgarner,San Francisco Giants,2013,2012,P,topps,256,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,World Series (2012 World Series Game #2)
Tim Lincecum,San Francisco Giants,2011,2010,P,topps,PDC4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Purple Diamond Cuts
Madison Bumgarner,San Francisco Giants,2011,2010,P,topps,555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
