name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
"Cabrera, Mauer, Trout",Split Card,2014,2013,split,topps,103,1,0,0,0,1,0,American League - 2013 Batting Average Leaders
"Sabathia, Lester, Price",Split Card,2011,2010,split,topps,124,1,0,0,0,1,0,2010 AL Wins Leaders
"Goldschmidt, Bruce, Freeman",Split Card,2014,2013,split,topps,143,1,0,0,0,1,0,National League - 2013 Runs Batted In Leaders
"Kershaw, Fernandez, Harvey",Split Card,2014,2013,split,topps,113,1,0,0,0,2,0,National League - 2013 Earn Run Average Leaders
"Hernandez, Buchholz, Price",Split Card,2011,2010,split,topps,235,1,0,0,0,2,1,"Topps Diamond Anniversary, 2010 AL Earned Run Average Leaders"
"Davis, Cabrera, Jones",Split Card,2014,2013,split,topps,153,1,0,0,0,2,0,American League - 2013 Runs Batted In Leaders
"Wainwright, Zimmerman, Kershaw",Split Card,2014,2013,split,topps,294,1,0,0,0,2,0,National League - 2013 Wins Leaders
"Alvarez, Goldschmidt, Bruce",Split Card,2014,2013,split,topps,38,1,0,0,0,1,0,National League - 2013 Home Run Leaders
"Davis, Cabrera, Encarnacion",Split Card,2014,2013,split,topps,29,1,0,0,0,1,0,American League - 2013 Home Run Leaders
"Sanchez, Colon, Iwakuma",Split Card,2014,2013,split,topps,177,1,0,0,0,1,0,American League - 2013 Earn Run Average Leaders
"Cuddyer, Johnson, Freeman",Split Card,2014,2013,split,topps,237,1,0,0,0,1,0,National League - 2013 Batting Average Leaders
"Scherzer, Colon, Moore",Split Card,2014,2013,split,topps,299,1,0,0,0,1,0,American League - 2013 Wins Leaders
"Cabrera, Hamilton, Encarnacion",Split Card,2013,2012,split,topps,194,1,0,0,0,1,0,2012 AL Runs Batted In Leaders
"Don Mattingly, Eric Hosmer",Split Card,2012,2011,split,topps,TT-3,1,0,0,0,1,0,Timeless Talents
"Rodriguez, Thome, Giambi",Split Card,2012,2011,split,topps,91,1,0,0,0,1,0,Active AL Home Run Leaders
"Bautista, Konerko, Cabrera",Split Card,2011,2010,split,topps,202,1,0,0,0,1,0,2010 AL Home Run Leaders
"Hamilton, Cabrera, Mauer",Split Card,2011,2010,split,topps,109,1,0,0,0,1,0,2010 AL Batting Average Leaders
"Braun, Stanton, Bruce",Split Card,2013,2012,split,topps,246,1,0,0,0,1,0,2012 NL Home Run Leaders
"Pujols, Dunn, Votto",Split Card,2011,2010,split,topps,318,1,0,0,0,1,0,2010 NL Home Run Leaders
"Pujols, Gonzalez, Votto",Split Card,2011,2010,split,topps,138,1,0,0,0,1,0,2010 NL Runs Batted In Leaders
"Halladay, Wainwright, Jiminez",Split Card,2011,2010,split,topps,11,1,0,0,0,1,0,2010 NL Wins Leaders
"Jones, Pujols, Jones",Split Card,2012,2011,split,topps,192,1,0,0,0,1,0,Active NL Home Run Leaders
"Phil Niekro, Nolan Ryan",Split Card,2011,2010,split,topps,60YOT-27,1,0,0,0,1,0,"60 Years of Topps (#206 1978 TOPPS), Strikeout Leaders"
"Price, Weaver, Harrision",Split Card,2013,2012,split,topps,95,1,0,0,0,1,0,2012 AL Wins Leaders
"Hernandez, Oswalt, Wolf",Split Card,2012,2011,split,topps,29,1,0,0,0,1,0,Active NL Wins Leaders
"Cabrera, Rodriguez, Bautista",Split Card,2011,2010,split,topps,306,1,0,0,0,1,0,2010 AL Runs Batted In Leaders
"Gonzalez, Votto, Infante",Split Card,2011,2010,split,topps,134,1,0,0,0,2,0,2010 NL Batting Average Leaders
"Verlander, Sabathia, Weaver",Split Card,2012,2011,split,topps,319,1,0,0,0,1,0,2011 AL Wins Leaders
"Johnson, Wainwright, Halladay",Split Card,2011,2010,split,topps,82,1,0,0,0,1,0,2010 NL Earned Run Average Leaders
"Joey Votto, Adrian Gonzalez",Split Card,2011,2010,split,topps,DD-VG,1,0,0,0,1,1,Diamond Duos
