name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,St. Louis Cardinals,2011,2010,team,topps,334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Holliday,St. Louis Cardinals,2014,2013,OF,topps,189,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kolten Wong,St. Louis Cardinals,2014,2013,2B,topps,141,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shelby Miller,St. Louis Cardinals,2014,2013,P,topps,204,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Lou Brock,St. Louis Cardinals,2013,2012,OF,topps,CH-14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chasing History (Career Stolen Bases)
St. Louis Cardinals,St. Louis Cardinals,2012,2011,team,topps,53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,World Series 2011 (Game #7)
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Factory Set Limited Edition
Albert Pujols,St. Louis Cardinals,2010,2009,1B,upper deck,SB-84,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Biography (2009 Season, June 13th, Pujols collects a pair of longballs, leading the league with 22)"
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,TT-50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Topps Town
Albert Pujols,St. Louis Cardinals,2012,2011,1B,topps,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,World Series (2001 Game #3)
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,547,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,First to 30+ HR in Each of First 10 Seasons
Ryan Ludwick,St. Louis Cardinals,2009,2008,OF,upper deck,271,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,First Edtion (Gold Border)
David Freese,St. Louis Cardinals,2011,2010,3B,topps,452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Duncan,St. Louis Cardinals,2009,2008,OF,topps,269,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,First Edtion (Gold Border)
Colby Rasmus,St. Louis Cardinals,2011,2010,OF,topps,448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Holliday,St. Louis Cardinals,2011,2010,OF,topps,490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Skip Schumaker,St. Louis Cardinals,2008,2007,OF,topps,654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jon Jay,St. Louis Cardinals,2013,2012,OF,topps,224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allen Craig,St. Louis Cardinals,2013,2012,OF,topps,321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jon Jay,St. Louis Cardinals,2011,2010,OF,topps,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Holliday,St. Louis Cardinals,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daniel Descalso,St. Louis Cardinals,2011,2010,2B,topps,87,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daniel Descalso,St. Louis Cardinals,2013,2012,2B,topps,190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Skip Schumaker,St. Louis Cardinals,2010,2009,2B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brendan Ryan,St. Louis Cardinals,2011,2010,SS,topps,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pedre Feliz,St. Louis Cardinals,2011,2010,3B,topps,212,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Skip Schumaker,St. Louis Cardinals,2011,2010,2B,topps,429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Theriot,St. Louis Cardinals,2011,2010,2B,topps,438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yadier Molina,St. Louis Cardinals,2011,2010,C,topps,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yadier Molina,St. Louis Cardinals,2010,2009,C,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yadier Molina,St. Louis Cardinals,2012,2011,C,topps,154,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Wainwright,St. Louis Cardinals,2011,2010,P,topps,645,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mitchell Boggs,St. Louis Cardinals,2010,2009,P,upper deck,470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Fuentes,St. Louis Cardinals,2013,2012,P,topps,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Wainwright,St. Louis Cardinals,2012,2011,P,topps,60,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jaime Garcia,St. Louis Cardinals,2012,2011,P,topps,171,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jaime Garcia,St. Louis Cardinals,2011,2010,P,topps,643,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Kyle Lohse,St. Louis Cardinals,2011,2010,P,topps,553,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Motte,St. Louis Cardinals,2011,2010,P,topps,538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Franklin,St. Louis Cardinals,2011,2010,P,topps,548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trever Miller,St. Louis Cardinals,2011,2010,P,topps,373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Carpenter,St. Louis Cardinals,2011,2010,P,topps,299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jake Westbrook,St. Louis Cardinals,2011,2010,P,topps,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jaime Garcia,St. Louis Cardinals,2011,2010,P,topps,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Wainwright,St. Louis Cardinals,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Carpenter,St. Louis Cardinals,2010,2009,P,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Adams,St. Louis Cardinals,2014,2013,1B,topps,157,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Matt Carpenter,St. Louis Cardinals,2014,2013,2B,topps,44,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Motte,St. Louis Cardinals,2014,2013,P,topps,599,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allen Craig,St. Louis Cardinals,2014,2013,1B,topps,481,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shane Robinson,St. Louis Cardinals,2014,2013,OF,topps,483,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Martinez,St. Louis Cardinals,2014,2013,P,topps,474,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Wacha,St. Louis Cardinals,2014,2013,P,topps,414,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jon Jay,St. Louis Cardinals,2014,2013,OF,topps,538,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Siegrist,St. Louis Cardinals,2014,2013,P,topps,344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Wainwright,St. Louis Cardinals,2014,2013,P,topps,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shelby Miller,St. Louis Cardinals,2014,2013,P,topps,528,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Peter Bourjos,St. Louis Cardinals,2014,2013,OF,topps,480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jaime Garcia,St. Louis Cardinals,2014,2013,P,topps,164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Kelly,St. Louis Cardinals,2014,2013,P,topps,62,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trevor Rosenthal,St. Louis Cardinals,2014,2013,P,topps,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Freese,St. Louis Cardinals,2014,2013,3B,topps,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lance Lynn,St. Louis Cardinals,2014,2013,P,topps,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yadier Molina,St. Louis Cardinals,2014,2013,C,topps,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kolten Wong,St. Louis Cardinals,2014,2013,2B,topps,46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Holliday,St. Louis Cardinals,2014,2013,OF,topps,329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A.J. Pierzynski,St. Louis Cardinals,2014,2013,C,topps,US-145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tito Landrum,St. Louis Cardinals,1982,1981,OF,fleer,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dane Iorg,St. Louis Cardinals,1982,1981,OF,fleer,116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Forsch,St. Louis Cardinals,1982,1981,P,fleer,112,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Braun,St. Louis Cardinals,1982,1981,OF,fleer,111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sixto Lexcano,St. Louis Cardinals,1982,1981,OF,fleer,119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Littell,St. Louis Cardinals,1982,1981,P,fleer,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Silvio Martinez,St. Louis Cardinals,1982,1981,P,fleer,122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Martin,St. Louis Cardinals,1982,1981,P,fleer,121,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ken Oberkfell,St. Louis Cardinals,1982,1981,3B,fleer,123,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darrell Porter,St. Louis Cardinals,1982,1981,C,fleer,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gene Tenace,St. Louis Cardinals,1982,1981,C,fleer,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yairo Munoz,St. Louis Cardinals,2019,2018,"2B, SS",fleer,466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lary Sorensen,St. Louis Cardinals,1982,1981,P,donruss,246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gary Templeton,St. Louis Cardinals,1982,1981,SS,donruss,545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Braun,St. Louis Cardinals,1982,1981,OF,donruss,418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
George Hendrick,St. Louis Cardinals,1984,1983,1B,topps,386,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neil Allen,St. Louis Cardinals,1984,1983,P,topps,435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joaquin Andujar,St. Louis Cardinals,1984,1983,P,topps,785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Braun,St. Louis Cardinals,1984,1983,"3B, OF",topps,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Glenn Brummer,St. Louis Cardinals,1984,1983,C,topps,152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Forsch,St. Louis Cardinals,1984,1983,P,topps,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Green,St. Louis Cardinals,1984,1983,OF,topps,362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Hagen,St. Louis Cardinals,1984,1983,P,topps,337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
George Hendrick,St. Louis Cardinals,1984,1983,1B,topps,540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tom Herr,St. Louis Cardinals,1984,1983,2B,topps,649,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dane Iorg,St. Louis Cardinals,1984,1983,"1B, OF",topps,416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Lahti,St. Louis Cardinals,1984,1983,P,topps,593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dave LaPoint,St. Louis Cardinals,1984,1983,P,topps,627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ken Oberkfell,St. Louis Cardinals,1984,1983,3B,topps,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darrell Porter,St. Louis Cardinals,1984,1983,C,topps,285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jamie Quirk,St. Louis Cardinals,1984,1983,"C, 3B",topps,671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Ramsey,St. Louis Cardinals,1984,1983,"2B, SS",topps,467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Floyd Rayford,St. Louis Cardinals,1984,1983,3B,topps,514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dave Rucker,St. Louis Cardinals,1984,1983,P,topps,699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Stuper,St. Louis Cardinals,1984,1983,P,topps,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
