name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,Tampa Bay Rays,2011,2010,team,topps,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raymond,Tampa Bay Rays,2014,2013,mascot,topps,M-9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Moore,Tampa Bay Rays,2014,2013,P,topps,106,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Desmond Jennings,Tampa Bay Rays,2014,2013,OF,topps,84,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremy Hellickson,Tampa Bay Rays,2014,2013,P,topps,34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evan Longoria,Tampa Bay Rays,2011,2010,3B,topps,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sean Rodriguez,Tampa Bay Rays,2011,2010,2B,topps,397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Keppinger,Tampa Bay Rays,2013,2012,2B,topps,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evan Longoria,Tampa Bay Rays,2013,2012,3B,topps,103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Bartlett,Tampa Bay Rays,2010,2009,SS,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evan Longoria,Tampa Bay Rays,2012,2011,3B,topps,FS-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantasy Squad
Evan Longoria,Tampa Bay Rays,2010,2009,3B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Akinori Iwamura,Tampa Bay Rays,2008,2007,3B,upper deck,663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Willy Aybar,Tampa Bay Rays,2009,2008,3B,topps,567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reid Brignac,Tampa Bay Rays,2011,2010,2B,topps,284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Johnson,Tampa Bay Rays,2011,2010,1B,topps,585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Pena,Tampa Bay Rays,2010,2009,1B,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Pena,Tampa Bay Rays,2011,2010,1B,topps,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carl Crawford,Tampa Bay Rays,2011,2010,OF,topps,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Desmond Jennings,Tampa Bay Rays,2011,2010,OF,topps,80,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Joyce,Tampa Bay Rays,2012,2011,OF,topps,196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Joyce,Tampa Bay Rays,2011,2010,OF,topps,55,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rocco Baldelli,Tampa Bay Rays,2008,2007,OF,upper deck,667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carl Crawford,Tampa Bay Rays,2008,2007,OF,upper deck,784,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Season Highlights
Carl Crawford,Tampa Bay Rays,2010,2009,OF,topps,none,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Johnny Damon,Tampa Bay Rays,2011,2010,OF,topps,466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
B.J. Upton,Tampa Bay Rays,2011,2010,OF,topps,556,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Joyce,Tampa Bay Rays,2012,2011,OF,topps,52,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Willy Aybar,Tampa Bay Rays,2011,2010,DH,topps,578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Zobrist,Tampa Bay Rays,2011,2010,OF,topps,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jake McGee,Tampa Bay Rays,2011,2010,P,topps,268,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremy Hellickson,Tampa Bay Rays,2011,2010,P,topps,165,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Shields,Tampa Bay Rays,2012,2011,P,topps,TM-41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mini Card
John Jaso,Tampa Bay Rays,2011,2010,C,topps,541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kelly Shoppach,Tampa Bay Rays,2011,2010,C,topps,514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Shields,Tampa Bay Rays,2013,2012,P,topps,133,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Niemann,Tampa Bay Rays,2011,2010,P,topps,579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wade Davis,Tampa Bay Rays,2011,2010,P,topps,467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Kazmir,Tampa Bay Rays,2008,2007,P,upper deck,709,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Season Highlights
David Price,Tampa Bay Rays,2011,2010,P,topps,61,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Shields,Tampa Bay Rays,2011,2010,P,topps,311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Price,Tampa Bay Rays,2011,2010,P,topps,328,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Series 1 Checklist 5 of 5, Most single season wins in franchise history"
Rafael Soriano,Tampa Bay Rays,2011,2010,P,topps,258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Niemann,Tampa Bay Rays,2012,2011,P,topps,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Joyce,Tampa Bay Rays,2014,2013,OF,topps,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Hamilton,Tampa Bay Rays,2014,2013,OF,topps,50YD-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 Years of the Draft
Enny Romero,Tampa Bay Rays,2014,2013,P,topps,49,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David DeJesus,Tampa Bay Rays,2014,2013,OF,topps,126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David DeJesus,Tampa Bay Rays,2014,2013,OF,topps,126,0,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,sparkly
Desmond Jennings,Tampa Bay Rays,2014,2013,OF,topps,582,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Desmond Jennings,Tampa Bay Rays,2014,2013,OF,topps,582,1,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,1105/2014,0,
Heath Bell,Tampa Bay Rays,2014,2013,P,topps,546,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Archer,Tampa Bay Rays,2014,2013,P,topps,383,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Wil Myers,Tampa Bay Rays,2014,2013,OF,topps,333,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013 AL Rookie of the Year
Sean Rodriguez,Tampa Bay Rays,2014,2013,OF,topps,359,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Beckham,Tampa Bay Rays,2014,2013,2B,topps,605,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
