name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,notes
Team Card,Washington Nationals,2011,2010,team,topps,374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Lannan,Washington Nationals,2011,2010,P,topps,246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Broderick,Washington Nationals,2011,2010,P,topps,368,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Livan Hernandez,Washington Nationals,2011,2010,P,topps,451,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Zimmermann,Washington Nationals,2011,2010,P,topps,566,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drew Storen,Washington Nationals,2012,2011,P,topps,141,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Edwin Jackson,Washington Nationals,2013,2012,P,topps,233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephen Strasburg,Washington Nationals,2011,2010,P,topps,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gio Gonzalez,Washington Nationals,2011,2010,P,topps,76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Clippard,Washington Nationals,2011,2010,P,topps,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Zimmermann,Washington Nationals,2008,2007,3B,upper deck,694,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lastings Milledge,Washington Nationals,2008,2007,OF,upper deck,691,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Willingham,Washington Nationals,2010,2009,OF,topps,none,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Willingham,Washington Nationals,2011,2010,OF,topps,225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
